SLC22A6	APP
APP	GSK3B
GSK3B	NFKB1
APP	MAPK8
MAPK8	TP53
APP	TAF6
TAF6	YAP1
APP	AKAP13
AKAP13	PPARA
MAPK8	CEBPA
APP	PSEN2
PSEN2	TRAF6
TRAF6	IRF7
APP	TIRAP
TIRAP	MYD88
APP	EEF1D
EEF1D	RELA
MAPK8	SP1
APP	MCM7
MCM7	HIF1A
APP	MYC
MYC	TFAP2A
RELA	USF2
APP	ELK1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
PSEN2	ELAVL1
ELAVL1	ARNT
APP	HGS
HGS	TSG101
TSG101	NFKB2
GSK3B	SMAD3
PANX1	GNAS
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	AXIN1
AXIN1	TP53
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	DAP3
DAP3	PPARA
C1QBP	CEBPA
AXIN1	TNFAIP3
TNFAIP3	IRF7
GNAS	SHMT2
SHMT2	HDAC6
HDAC6	MYD88
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
C1QBP	PRKCZ
PRKCZ	SP1
GIPC1	MCM7
GIPC1	SH3BP4
SH3BP4	TFAP2A
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	ELK1
C1QBP	PRKCD
PRKCD	EP300
RUVBL1	ELAVL1
NFKBIE	NFKB2
CREBBP	SMAD3
NFKB1	BIRC2
RELA	BIRC2
TP53	GADD45A
ELK1	BIRC2
CREBBP	ANGPT2
EP300	ANGPT2
HIF1A	ANGPT2
ARNT	ANGPT2
YAP1	BIRC2
NFKB2	BIRC2
PPARA	APOA2
IRF7	IFNA16
MYD88	IFNA16
HIF1A	ADM
TFAP2A	ADM
CEBPA	ALB
SP1	ALB
USF2	APOA2
CEBPA	APOB
PPARA	APOB
USF2	CEACAM6
CEBPA	GADD45A
NFKB1	GADD45A
PPARA	GADD45A
CEBPA	ITGA2
SP1	ITGA2
TFAP2A	ITGA2
SP1	TTR
SMAD3	ZFP36
