ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	CDC42
CDC42	TP53
RAP1A	FAF1
FAF1	HIF1A
RAP1A	HDAC1
HDAC1	CREBBP
HDAC1	EP300
RAPGEF4	TRAF2
TRAF2	PIAS2
PIAS2	ARNT
PIAS2	SMAD4
TRAF2	UBE2D1
UBE2D1	YAP1
TRAF2	GSK3B
GSK3B	SMAD1
TRAF2	SMURF1
SMURF1	SMAD5
RAP1A	TSC2
TSC2	SMAD3
SMAD3	SMAD9
PPARG	TFAP2A
TFAP2A	TP53
PPARG	EP300
EP300	HIF1A
PPARG	CREBBP
EP300	ARNT
EP300	SMAD4
PPARG	SMAD3
SMAD3	YAP1
EP300	SMAD1
EP300	SMAD5
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	ANGPT2
EP300	CDKN1B
EP300	ANGPT2
HIF1A	CDKN1B
HIF1A	ANGPT2
ARNT	CDKN1B
ARNT	ANGPT2
YAP1	ID1
YAP1	ID3
SMAD1	ID1
SMAD1	ID3
SMAD4	ID1
SMAD4	ID3
SMAD5	ID1
SMAD5	ID3
SMAD9	ID1
SMAD9	ID3
TP53	CAV1
