HTR2A	CBL
CBL	CTNNB1
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CBL	SMAD3
SMAD3	FOS
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
DRD2	FLNA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
PML	FOS
DRD2	CALM1
CALM1	HSP90AA1
PPARA	ACSL3
PPARA	UCP1
PPARG	ACSL3
PPARG	PLIN1
PPARG	UCP1
PPARG	ADIPOQ
RXRA	ACSL3
RXRA	PLIN1
RXRA	UCP1
RXRA	ADIPOQ
RXRB	ACSL3
RXRB	PLIN1
RXRB	UCP1
RXRB	ADIPOQ
RXRG	ACSL3
RXRG	PLIN1
RXRG	UCP1
RXRG	ADIPOQ
FOS	IL12A
FOS	CCL5
FOS	NQO1
