ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	CDC42
CDC42	TP53
RAP1A	HDAC1
HDAC1	CREB1
RAPGEF4	TRAF2
TRAF2	JUN
CDC42	RUVBL1
RUVBL1	LEF1
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
TRAF2	PIAS2
PIAS2	ARNT
TRAF2	UBC
UBC	DAZAP2
DAZAP2	TCF7
TRAF2	USP4
USP4	TCF7L2
RAP1A	NTRK1
NTRK1	CTNNB1
CTNNB1	TCF7L1
HDAC1	SP1
TRAF2	UBE2D1
UBE2D1	YAP1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
NTRK1	STAT3
JUN	ETS1
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
YWHAZ	TP53
SLC9A3R1	YAP1
YAP1	CREB1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	JUN
YWHAZ	CTNNB1
CTNNB1	LEF1
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
YAP1	EP300
CAPN1	HIF1A
HIF1A	ARNT
YWHAZ	UBC
CTNNB1	TCF7L2
STAT3	SP1
YAP1	TEAD1
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	TRIM27
TRIM27	TEAD4
YAP1	TEAD3
TP53	ETS1
STAT3	PIM2
JUN	CCND2
CREBBP	EPO
CREBBP	ANGPT2
EP300	EPO
EP300	ANGPT2
HIF1A	EPO
HIF1A	ANGPT2
ARNT	EPO
ARNT	ANGPT2
YAP1	SNAI2
YAP1	CCND2
LEF1	SNAI2
LEF1	CCND2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SNAI2
TCF7L2	CCND2
TEAD1	SNAI2
TEAD1	CCND2
TEAD4	SNAI2
TEAD4	CCND2
TEAD3	SNAI2
TEAD3	CCND2
TCF7L1	SNAI2
TCF7L1	CCND2
STAT3	CCND2
TP53	SESN1
TP53	RPRM
CREB1	HLA-DPA1
ETS1	MMP3
JUN	MMP3
CREB1	TG
