AKR1D1	SIRT1
SIRT1	FOS
FOS	CEBPA
SIRT1	JUN
SIRT1	RB1
RB1	SPI1
SIRT1	STAT3
STAT3	NFKB1
SIRT1	RELA
SIRT1	CREB1
RB1	CEBPB
SIRT1	PPARA
SIRT1	UBE2I
UBE2I	RXRA
PPARA	RXRB
PPARA	RXRG
STAT3	SP1
SIRT1	TP53
RB1	TFAP2A
UBE2I	ETS1
RB1	MYC
RELA	EGR1
RELA	USF2
RELA	REL
IFNG	ICAM1
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
PPARA	APOA1
PPARA	APOC3
RXRA	APOA1
RXRA	APOC3
RXRB	APOA1
RXRB	APOC3
RXRG	APOA1
RXRG	APOC3
EGR1	APOA1
USF2	APOC3
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
JUN	ICAM1
NFKB1	ICAM1
REL	ICAM1
RELA	ICAM1
SPI1	ICAM1
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
CEBPA	SERPINC1
