HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	ESR1
CBL	MAPK8
MAPK8	PAX2
CBL	EGFR
EGFR	STAT1
CBL	HSPA4
HSPA4	NFKB1
MAPK8	ELK4
CBL	SMAD7
SMAD7	SRF
CTNNB1	TCF3
TCF3	ELK3
CTNNB1	HIF1A
CBL	GRB2
GRB2	EP300
EP300	PAX8
CBL	ABL1
ABL1	CREB1
GRB2	HSP90AA1
HSP90AA1	NFIC
EGFR	STAT3
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSPA8
HSPA8	TP53
HSPA8	ESR1
KCNH2	HSP90AA1
HSP90AA1	BRCA1
BRCA1	PAX2
YWHAE	XPO1
XPO1	STAT1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	CDC73
CDC73	MUS81
MUS81	ELK4
HDAC4	SRF
YWHAE	SNRPD1
SNRPD1	TOP1
TOP1	ELK3
HSP90AA1	HIF1A
HSP90AA1	CHUK
CHUK	PAX8
HSP90AA1	STAT3
CREB1	FOS
TP53	GADD45A
ELK4	FOS
SRF	FOS
ELK3	FOS
ESR1	FOS
STAT1	FOS
STAT3	FOS
ESR1	GADD45A
NFKB1	GADD45A
JUN	GJA1
TP53	PLK1
TP53	PRKAB1
TP53	S100B
ESR1	TFF1
JUN	TFF1
HIF1A	TP53
JUN	TP53
NFIC	TP53
NFKB1	TP53
PAX2	TP53
PAX8	TP53
STAT1	TP53
TP53	TP53
