KCNJ1	SLC9A3R1
SLC9A3R1	YAP1
YAP1	CREB1
SLC9A3R1	YWHAZ
YWHAZ	HDAC4
HDAC4	ATF2
YAP1	EP300
EP300	ATF4
YWHAZ	TP53
YWHAZ	COPS5
COPS5	CREB3
YWHAZ	CTNNB1
CTNNB1	ELAVL1
ELAVL1	CREB3L2
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
YAP1	PTCH1
PTCH1	ATF6B
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
SLC9A3R1	EZR
EZR	BRCA1
YWHAZ	ENO1
ENO1	E2F4
SLC9A3R1	RPS3
RPS3	NFKB1
YWHAZ	NFATC4
NFATC4	CEBPA
SLC9A3R1	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	JUN
PTGS1	CAV1
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	MAPK1
MAPK1	ATF2
PTGS1	PTGS2
PTGS2	EP300
PTGS2	TP53
CAV1	MALL
MALL	CREB3
CAV1	CTNNB1
CAV1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
CAV1	PTCH1
CAV1	TRAF2
TRAF2	CREB5
CTNNB1	BRCA1
CAV1	AR
AR	E2F4
EP300	NFKB1
CTNNB1	MAPK8
MAPK8	CEBPA
PTGS1	PTGIS
PTGIS	HSP90AA1
HSP90AA1	NFIC
CAV1	CSK
CSK	JUN
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
ATF2	CGA
ATF4	CGA
CREB1	CGA
NFIC	CGA
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPA	FN1
CREB1	FN1
NFKB1	FN1
CEBPA	GPX4
CREB1	NTS
JUN	NTS
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
