CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
TXN	COPS5
COPS5	SMAD4
TXN	PRDX1
PRDX1	YAP1
GPRASP2	AGO2
AGO2	BTRC
BTRC	WWTR1
TXN	NR3C1
NR3C1	NCOA1
NCOA1	TEAD1
GPRASP2	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
GPRASP2	KEAP1
KEAP1	PIDD1
PIDD1	TEAD3
NR3C1	SMAD3
TXN	TP53
TP53	SMAD2
CHRM2	SET
SET	TP53
TP53	SP1
SET	APP
APP	CSNK1D
CSNK1D	SMAD4
SET	XPO1
XPO1	YAP1
APP	YWHAG
YWHAG	WWTR1
SET	NR3C1
SET	GZMA
GZMA	GOLGA2
GOLGA2	TEAD4
YAP1	TEAD3
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	CSNK1D
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
TCF7	JUN
