ACHE	COL1A1
COL1A1	UBL4A
UBL4A	KPNA2
KPNA2	RELA
UBL4A	TXN
TXN	NFKB1
COL1A1	IGFBP3
IGFBP3	CD44
CD44	STAT3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
UBL4A	NCL
NCL	SP1
COL1A1	ITGB1
ITGB1	PTK2
PTK2	STAT1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
UBL4A	HSP90AA1
HSP90AA1	NFIC
UBL4A	APP
APP	ELK1
IGF1R	TP53
HTR2A	CBL
CBL	HSPA8
HSPA8	RELA
CBL	HSPA4
HSPA4	NFKB1
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	SP1
EGFR	STAT1
SMAD3	YAP1
CBL	GRB2
GRB2	HSP90AA1
CBL	MAPK8
MAPK8	ELK1
CBL	YWHAZ
YWHAZ	TP53
GLI3	HHIP
TP53	GADD45A
LEF1	MYC
TCF7	BIRC5
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	FIGF
TEAD1	SOX2
TEAD3	CTGF
RFX5	HLA-DQB1
RFX5	HLA-DRA
E2F4	CAV1
USF1	CCND1
ETS2	IL2
NFKB1	IL2
RELA	IL2
NFIC	TFPI2
POU2F1	TNF
ETS1	VWF
NFIC	VWF
