SLC22A6	APP
APP	SYVN1
SYVN1	ATF6
APP	MAPK8
MAPK8	TP53
MAPK8	JUN
APP	TAF6
TAF6	YAP1
APP	EEF1D
EEF1D	RELA
APP	MCM7
MCM7	HIF1A
APP	MAPK7
MAPK7	ETS1
APP	MYC
APP	KAT5
KAT5	CREB1
APP	HGS
HGS	INSR
INSR	TEAD1
MCM7	TRIM27
TRIM27	TEAD4
KAT5	E2F1
E2F1	TEAD3
APP	GSK3B
GSK3B	NFKB1
MAPK8	STAT3
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	HDAC4
HDAC4	STAT1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
MYC	TFAP2A
MAPK8	SP1
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
EEF1D	HCFC1
HCFC1	E2F4
SHC1	SOS1
SHC1	SOS2
ELAVL1	NFIC
MAPK7	FOS
PSEN2	APH1A
APH1A	ATF4
APP	ELK1
APP	CSNK1D
CSNK1D	SMAD4
APP	AKAP13
AKAP13	PPARA
GSK3B	SMAD3
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
ELAVL1	ARNT
MYC	RUNX1
APP	APBB1
APBB1	HDAC1
HDAC1	RUNX1T1
APP	HSPA8
HSPA8	POU2F1
APP	SNCA
SNCA	MAPK1
SNCA	MAPK3
MAPK8	ATF2
ATF2	ATF1
MAPK8	CTNNB1
CTNNB1	PPARD
APP	RFX5
RFX5	PPARG
HCFC1	CREB3
APP	CUL3
CUL3	NXF1
NXF1	ATF6B
ELAVL1	CREB3L2
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	TRAF2
TRAF2	CREB5
HGS	TSG101
TSG101	NFKB2
GSK3B	SMAD1
ELAVL1	SMAD5
KAT5	NOTCH1
NOTCH1	SMAD9
KAT5	MAX
PANX1	GNAS
GNAS	NUCB1
NUCB1	GTF2I
GTF2I	ATF6
GNAS	AXIN1
AXIN1	TP53
GNAS	C1QBP
C1QBP	PRKD1
PRKD1	JUN
C1QBP	AHCYL1
AHCYL1	YAP1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GIPC1	MCM7
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	ETS1
AXIN1	MYC
CREBBP	CREB1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	HLA-A
HLA-A	STAT3
RUVBL1	LEF1
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
GNAS	GNB2
GNB2	STAT1
GNAS	PAICS
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	PRKCZ
PRKCZ	SP1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
C1QBP	CEBPA
CEBPA	E2F4
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
RUVBL1	ELAVL1
CEBPA	FOS
SHMT2	ATF4
CREBBP	ELK1
LEF1	SMAD4
C1QBP	DAP3
DAP3	PPARA
CREBBP	SMAD3
PRKCD	EP300
PAICS	STUB1
STUB1	RUNX1
RUVBL1	KPNB1
KPNB1	RUNX1T1
C1QBP	HSPA8
C1QBP	PARK2
PARK2	MAPK1
C1QBP	NUP153
NUP153	MAPK3
CREBBP	ATF1
C1QBP	PRKCA
PRKCA	PPARG
SHMT2	CREB3
CREBBP	ATF2
SHMT2	NFYA
NFYA	ATF6B
CEBPA	Fbxw7
Fbxw7	CREB3L1
GNG5	MDFI
MDFI	CREB5
NFKBIE	NFKB2
STUB1	SMAD1
PRKCA	HMGA2
HMGA2	SMAD9
CEBPA	MAX
RUNX1	JUP
RUNX1T1	JUP
ATF6B	FOS
ATF4	FOS
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	PGK1
HIF1A	VEGFC
ARNT	EDN1
ARNT	FIGF
ARNT	NOS3
ARNT	PDK1
