ACHE	COL1A1
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
IGFBP3	IGF1R
IGF1R	TP53
FN1	RBL1
RBL1	E2F4
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	TRIB3
TRIB3	ATF4
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
COL1A1	P4HB
P4HB	PSMD9
PSMD9	BRCA1
IGF1R	CSK
CSK	JUN
UBL4A	NCL
NCL	SP1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
TP53	CDKN1A
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
USF1	APOC3
USF2	APOC3
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
ETV4	HPGD
NFIC	HRAS
E2F4	HSP90B1
ESR2	JUN
JUN	JUN
ETS1	TNF
POU2F1	VWF
SMAD4	ZFP36
