HTR2A	CBL
CBL	GRB2
GRB2	EP300
EP300	EGR1
CBL	CTNNB1
CTNNB1	SP1
CBL	MAPK8
MAPK8	MYC
MAPK8	PAX2
CBL	YWHAZ
YWHAZ	TP53
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	PAX2
FLNA	RANBP2
RANBP2	TP53
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
RELA	EGR1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	TP53
DRD4	GRB2
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
DRD4	STUB1
STUB1	MYC
ARRB2	MAP2K4
MAP2K4	MAPK8
STUB1	TP53
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	BCR
BCR	RB1
BCR	TP53
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	EP300
MDFI	VHL
VHL	SP1
KAT5	MYC
KAT5	BRCA1
BRCA1	PAX2
KAT5	TP53
ADRA2A	UCHL1
UCHL1	TP53
TP53	EGR1
UCHL1	CTNNB1
UCHL1	CDK4
CDK4	MYC
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	BRCA1
ADRA2B	UCHL1
CTNNB1	BRCA1
ADRA2C	UCHL1
HTR2C	DLG4
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
ESR1	MYC
DLG4	LRP2
LRP2	MAPK8IP1
MAPK8IP1	PAX2
DLG4	ERBB4
ERBB4	TP53
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
WWP2	SMAD7
SMAD7	MYC
S1PR1	TRIP6
TRIP6	POM121
POM121	BRCA1
TRIP6	PTK2
PTK2	TP53
DRD1	RANBP9
RANBP9	ESR1
ESR1	EP300
RANBP9	APP
APP	MAPK8
ESR1	TP53
PAX6	GCK
MAPK1	CCND1
PIK3R1	PDPK1
RXRA	ACADM
RFX5	HLA-DMA
RFX5	HLA-DMB
ETS1	MMP3
ETS2	MMP3
RELA	MMP3
FLI1	MMP9
