HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
HTR2C	CALM1
CALM1	DCUN1D1
DCUN1D1	NFKB1
HTR2C	DLG4
DLG4	MDM2
MDM2	RELA
OPRK1	SIAH1
SIAH1	STAT3
STAT3	NFKB1
STAT3	RELA
ADRA2C	UCHL1
UCHL1	TP53
TP53	RELA
HTR7	CUL3
CUL3	NFKB1
CUL3	KPNA2
KPNA2	RELA
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
DRD3	EPB41L1
EPB41L1	COPS5
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
SLC6A2	SNCA
SNCA	HSPA4
SNCA	HSPA8
SLC6A4	SNCA
SLC6A3	TGFB1I1
TGFB1I1	NR3C1
NR3C1	NFKB1
NR3C1	RELA
HTR2B	AGTR1
AGTR1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
AGTR1	SETD7
SETD7	RELA
DRD1	RANBP9
RANBP9	NR3C1
RANBP9	ESR1
ESR1	RELA
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	RELA
ADRB1	ARRB2
ARRB2	PRMT5
PRMT5	RELA
ADRB2	STAT3
RBPJ	HES1
TP53	BAI1
RXRG	EHHADH
IRF7	IFNA8
TFAP2C	ESR1
CREB1	F3
