HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	IGF1R
IGF1R	ESR1
ARRDC3	ITCH
ITCH	JUN
ARRB2	POLR2E
POLR2E	FOS
ITCH	TP53
TP53	ETS1
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAPK3
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	DYNC1H1
DYNC1H1	MAX
ARRB2	AKT1
AKT1	CREB1
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ITCH	PTCH1
PTCH1	ATF6B
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	CDK3
CDK3	PPARA
ARRB2	NPM1
NPM1	TFAP2A
NEDD4	PPARG
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
NFKBIA	NFKB1
ARRB2	HDAC2
HDAC2	PPARD
ARRB2	PRMT5
PRMT5	RELA
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	CAPN1
CAPN1	HIF1A
NEDD4	ERBB3
ERBB3	EGR1
ADRB2	REL
ARRB2	UBC
UBC	ATF6
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
NR3C2	ATP1B1
NR3C2	SGK1
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
NFKB1	IL6
RELA	IL6
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
NFKB1	HIF1A
RELA	HIF1A
CREB3	MITF
CREB1	MITF
CREB3L2	MITF
CREB3L1	MITF
MAPK1	CDK4
MAPK3	CDK4
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
PPARA	ACADM
PPARG	PLIN1
RXRA	ACADM
RXRA	PLIN1
RXRB	ACADM
RXRB	PLIN1
RXRG	ACADM
RXRG	PLIN1
MAX	CDK4
FOS	IL6
JUN	IL6
MAPK1	IL6
MAPK3	IL6
SP1	CDK1
CREB1	ADRB2
HIF1A	BNIP3
E2F4	CDC6
E2F4	CDK1
TP53	CHEK1
SP1	CTGF
MYC	DDX18
CREB1	F3
JUN	F3
NFKB1	F3
REL	F3
RELA	F3
NFIC	GOT1
NFIC	HSPA1A
TFAP2A	HSPA1A
ESR1	HSPB1
SP1	HSPB1
CEBPA	IL6
CREB1	IL6
EGR1	IL6
NFIC	IL6
REL	IL6
TFAP2A	IL6
TFAP2A	KRT14
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
SP1	MAT2B
E2F4	PCNA
TP53	PCNA
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
E2F4	TK1
CEBPA	TK1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
POU2F1	TXNRD1
ATF6	XBP1
