CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
TFCP2	SUMO1
SUMO1	PML
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
HDAC2	MYC
PML	FOS
PML	JUN
SUMO1	DAXX
DAXX	ETS1
HDAC2	CREBBP
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
SUMO1	MCM3
MCM3	EPAS1
SUMO1	UBE2I
UBE2I	PPARA
HDAC1	STAT3
HDAC1	STAT1
HDAC1	POU2F1
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
HDAC1	CREB1
CREBBP	VEGFA
CREBBP	VEGFB
EP300	VEGFA
EP300	VEGFB
HIF1A	VEGFA
HIF1A	VEGFB
ARNT	VEGFA
ARNT	VEGFB
NFKB1	TRAF1
RELA	TRAF1
NFKB1	VEGFA
NFKB1	VEGFB
RELA	VEGFA
RELA	VEGFB
STAT1	VEGFA
STAT1	VEGFB
STAT3	VEGFA
STAT3	VEGFB
EPAS1	VEGFA
EPAS1	VEGFB
ETS1	VEGFA
ETS1	VEGFB
FOS	VEGFA
FOS	VEGFB
JUN	VEGFA
JUN	VEGFB
MYC	VEGFA
MYC	VEGFB
PPARA	DBI
PPARA	FADS2
RXRA	DBI
RXRA	UBC
RXRA	FADS2
RXRB	DBI
RXRB	UBC
RXRB	FADS2
RXRG	DBI
RXRG	UBC
RXRG	FADS2
NFKB1	CEBPB
RELA	CEBPB
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TWF2
CREB1	GSTP1
FOS	GSTP1
MYC	ID2
CREB1	IL2
NFKB1	IL2
POU2F1	IL2
RELA	IL2
FOS	NQO1
POU2F1	TXNRD1
