HPGDS	ARRDC3
ARRDC3	ADRB2
ADRB2	STAT3
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	CEBPB
ADRB2	REL
ARRB2	STAT1
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ARRB2	YWHAQ
YWHAQ	YAP1
ITCH	TP53
TP53	ETS1
ARRB2	ALYREF
ALYREF	LEF1
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
MAPK1	ELK1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	AKT1
AKT1	CREB1
LEF1	MYC
TCF7	BIRC5
JUN	CCND3
NFKB1	TNF
CREB3L3	PCNA
CREBBP	SERPINE1
CREBBP	TIMP1
EP300	SERPINE1
EP300	TIMP1
HIF1A	SERPINE1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
CEBPB	HP
ATF4	HPGD
ESR2	JUN
ETS2	JUN
JUN	JUN
ETS1	VWF
NFIC	VWF
