HTR2A	CBL
CBL	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
EP300	ARNT
CBL	YWHAZ
YWHAZ	TP53
CTNNB1	FOXO3
HTR2C	DLG4
DLG4	MDM2
MDM2	HIF1A
HTR2C	CALM1
CALM1	ESR1
ESR1	CREBBP
MDM2	EP300
CALM1	HSP90AA1
HSP90AA1	ARNT
DLG4	ERBB4
ERBB4	TP53
MDM2	FOXO3
SLC6A4	SNCA
SNCA	MAPK1
MAPK1	HIF1A
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	PTK2
PTK2	TP53
AKT1	FOXO3
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	HIF1A
S1PR1	TRIP6
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA1
NCOA1	ARNT
TRIP6	PTK2
YWHAQ	FOXO3
SLC6A2	SNCA
SLC6A2	ACTB
ACTB	EP300
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	CREBBP
SMAD3	PML
PML	ARNT
TGFB1I1	NR3C1
NR3C1	TP53
SMAD3	FOXO3
ADRA1B	AP2M1
AP2M1	CLTC
EP300	HIF1A
AP2M1	APC
APC	CREBBP
AP2M1	BCR
BCR	TP53
EP300	FOXO3
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	EP300
UCHL1	HSP90AA1
UCHL1	TP53
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
FOXO3	CDKN1B
