PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	SP1
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
LYPLA1	DPYSL2
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
APP	RFX5
RFX5	PPARG
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
APP	TIRAP
TIRAP	MYD88
DPYSL2	LEF1
LEF1	SMAD3
SMAD3	IRF7
APP	ELK1
ASNS	PPP1CA
PPP1CA	CREB1
DPYSL2	TUBA1A
TUBA1A	SQSTM1
SQSTM1	IRF8
APP	SET
SET	IRF1
APRT	HECW2
HECW2	TFAP2A
LYPLA1	PRDX6
PRDX6	GLO1
GLO1	MEOX2
MEOX2	PAX1
DPYSL2	NTMT1
NTMT1	MAPK1
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
INSR	PRKCD
PRKCD	SP1
NTRK1	PML
PML	RXRA
INSR	STAT5A
STAT5A	PPARG
PPARG	RXRB
NTRK1	CUL1
NTRK1	STAT3
INSR	SQSTM1
SQSTM1	MYD88
INSR	IRF7
NTRK1	MAPK1
MAPK1	ELK1
NTRK1	ABL1
ABL1	CREB1
NTRK1	SMARCA4
SMARCA4	IRF1
NTRK1	RB1
RB1	TFAP2A
NTRK1	KTN1
KTN1	MEOX2
INSR	ARRB2
ARRB2	MAPK3
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
STAT3	SP1
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	RXRA
HMGCL	LSM12
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
NCOR2	PPARG
ARL6IP1	FBXW7
FBXW7	NFKB2
RNF126	CDKN1A
CDKN1A	HDAC6
HDAC6	MYD88
INPP5K	TANK
TANK	IRF7
ARL6IP1	GORASP2
GORASP2	APP
HES1	SIRT1
SIRT1	CREB1
LSM12	THP2
THP2	TOP1
TOP1	IRF8
ARL6IP1	DIABLO
DIABLO	BIRC3
BIRC3	IRF1
FBXW7	MYC
MYC	TFAP2A
HMGCL	TOMM40
TOMM40	PARK2
PARK2	MEOX2
STAT3	MAPK1
HMGCL	DNAJA1
DNAJA1	IQGAP1
IQGAP1	MAPK3
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
TP53	SP1
KPNA4	APP
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
KPNA4	DAXX
DAXX	TSG101
TSG101	NFKB2
TP53	IRF7
DAXX	CREB1
RELA	IRF8
PC	CAD
CAD	SMARCA4
TP53	TFAP2A
TP53	SMAD3
SMAD3	MEOX2
TP53	MAPK1
TP53	MAPK3
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	SP1
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
EP300	PPARG
RELA	NFKB2
ACACA	PSMD2
PSMD2	MDM2
MDM2	MYD88
BRCA1	SMAD3
BRCA1	CREBBP
CREBBP	ELK1
BRCA1	CREB1
EP300	IRF1
BRCA1	TFAP2A
BRCA1	MAPK1
BRCA1	MAPK3
CREB3	NPY
ATF6B	FOS
ATF6B	PDYN
ATF4	FOS
ATF4	PDYN
FOS	CCND1
JUN	CCND1
HIF1A	PFKFB4
HIF1A	PFKL
SOS1	CCND1
SOS1	BCL2L1
STAT5A	SOCS4
STAT5B	SOCS5
RBPJ	HES5
TP53	SESN3
TP53	DDB2
TP53	SERPINB5
TP53	BAX
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
JUN	VEGFC
MYC	MMP1
NFKB2	BIRC8
NFKB2	TRAF1
NFKB2	TRAF3
NFKB2	BIRC7
RELA	TRAF4
CREB1	BCL2
CREB3L2	MCL1
PPARA	CYP4A11
PPARA	CYP8B1
PPARA	FABP1
PPARA	ACAA1
PPARA	ACOX1
PPARD	ACOX1
PPARG	CPT1B
PPARG	FABP4
PPARG	ACSL4
PPARG	LPL
PPARG	UCP1
RXRA	FABP4
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP1
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP4A11
RXRG	CD36
EGR1	CCL5
MAX	CDK6
MAX	CCND1
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
CREB1	AQP3
E2F4	MYC
MYC	MYC
FOS	NTS
ETS1	PRL
POU2F1	PRL
CEBPD	PTGS2
CREB1	PTGS2
TFAP2A	VHL
ERG	VIM
