GABRA1	PRKCD
PRKCD	EP300
EP300	RUNX1
PRKCD	STAT3
STAT3	HDAC3
HDAC3	RUNX1T1
PRKCD	SP1
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	RUNX1
SDCBP2	PRPF40A
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
GABRA4	APP
APP	MYC
MYC	RUNX1
APP	APBB1
APBB1	HDAC1
HDAC1	RUNX1T1
APP	MAPK8
MAPK8	SP1
CHRNA4	YWHAH
YWHAH	CBL
CBL	SMAD3
SMAD3	RUNX1
YWHAH	IRS1
IRS1	HDAC2
HDAC2	RUNX1T1
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
CHRNA7	FYN
FYN	SUV39H1
SUV39H1	RUNX1
FYN	BCL3
BCL3	HDAC3
FYN	CTNNB1
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	RUNX1
GRIA2	GRIP1
GRIP1	HDAC1
GRIP1	CTNNB1
GRIK2	SDCBP
GRIK2	GRIP1
GRIK2	DLG1
DLG1	BTRC
BTRC	SP1
GABRB1	NOD1
NOD1	UBC
UBC	FHL2
FHL2	RUNX1
UBC	KPNB1
KPNB1	RUNX1T1
NOD1	HSP90AA1
HSP90AA1	SP1
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	SMAD3
GSK3B	DNMT1
DNMT1	RUNX1T1
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GABRB3	MEOX2
MEOX2	TRAF6
GABRB3	PRKACA
PRKACA	HDAC1
MEOX2	RELA
RELA	SP1
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	UBQLN4
GABRE	FAM189B
FAM189B	YAP1
YAP1	RUNX1
GABRE	CUX1
CUX1	TLE4
TLE4	HDAC1
CUX1	CCNA1
CCNA1	SP1
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	TRAF6
GABARAP	SQSTM1
SQSTM1	NCOR1
NCOR1	RUNX1T1
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
RUNX1	JUP
RUNX1T1	JUP
POU2F2	IL4
JUN	NFKB2
SP1	NFKB2
