ACHE	COL1A1
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
COL1A1	UBL4A
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	CD44
CD44	EP300
EP300	USF2
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGF1R	TP53
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	RAB1A
RAB1A	CREB1
IGFBP3	FN1
FN1	CSNK2A1
CSNK2A1	ATF1
IGF1R	ESR1
ESR1	SP2
HSP90AA1	NFIC
FN1	UBE2L3
UBE2L3	FOS
CD44	STAT3
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
FN1	ELAVL1
ELAVL1	HOXA5
ITGB1	PTK2
PTK2	STAT1
ITGB1	PRKCA
PRKCA	PPARG
FN1	UBC
UBC	ATF6
NPM1	EPAS1
TP53	EGR1
HSP90AA1	PPARA
HSP90AA1	PPARD
UBL4A	RPL4
RPL4	MYB
XRCC6	POU2F1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
UBL4A	C1QBP
C1QBP	CEBPA
ESR1	SP3
FN1	TRIB3
TRIB3	ATF4
PPARA	CPT1A
STAT3	CPT1A
CREB1	FOSB
ATF4	FOSB
TP53	SFN
JUN	RELA
CREB1	PCNA
ATF4	PCNA
CREBBP	ALDOA
CREBBP	PFKFB3
CREBBP	TFRC
CREBBP	VEGFA
EP300	ALDOA
EP300	PFKFB3
EP300	TFRC
EP300	VEGFA
HIF1A	ALDOA
HIF1A	PFKFB3
HIF1A	TFRC
HIF1A	VEGFA
ARNT	ALDOA
ARNT	PFKFB3
ARNT	TFRC
ARNT	VEGFA
NFKB1	PLAU
NFKB1	VCAM1
NFKB2	CCL19
RELA	PLAU
RELA	VCAM1
TP53	IGFBP3
TP53	SERPINB5
TP53	STEAP3
TP53	RRM2
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
NFKB1	TRAF5
NFKB2	TRAF5
RELA	TRAF5
PPARA	ANGPTL4
PPARA	FADS2
PPARD	CPT1A
PPARD	ANGPTL4
PPARG	CPT1A
PPARG	PCK2
PPARG	ANGPTL4
RXRA	CPT1A
RXRA	PCK2
RXRA	ANGPTL4
RXRA	FADS2
RXRB	CPT1A
RXRB	PCK2
RXRB	ANGPTL4
RXRB	FADS2
RXRG	CPT1A
RXRG	PCK2
RXRG	ANGPTL4
RXRG	FADS2
NFKB1	CEBPB
RELA	CEBPB
FOS	PLAUR
JUN	PLAUR
JUN	ALDOA
SP1	ALDOA
ATF1	AQP3
CREB1	AQP3
ATF4	ASNS
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
USF2	CEACAM6
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
HIF1A	ITGB2
NFKB1	KLK3
SP3	KLK3
TP53	KLK3
SP1	KRT18
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
SP2	MAT2A
CEBPA	PCK2
NFIC	PCK2
TP53	PCNA
EGR1	PLAU
ETS1	PLAU
POU2F1	PLAU
SP1	PLAU
ATF1	PLAUR
EGR1	RELA
PPARD	RELA
SP1	RELA
TP53	RELA
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
ATF1	TH
CREB1	TH
HOXA5	TH
TFAP2A	TH
JUN	TXN
ATF6	XBP1
