HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NR3C2
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	JUN
DRD2	PAWR
PAWR	CAND1
CAND1	NR3C2
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	RBM39
RBM39	JUN
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	OSBP
OSBP	CAND1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
TRIP6	CREB5
CREB5	JUN
HTR1B	MDFI
MDFI	VHL
VHL	HSP90AA1
MDFI	KAT5
KAT5	TP53
MDFI	PIN1
PIN1	JUN
HTR1D	HTR1B
HTR1E	ATP5B
ATP5B	HSP90AA1
HTR1E	PSMC3
PSMC3	TP53
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR2C	CALM1
CALM1	HSP90AA1
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
DLG4	MDM2
MDM2	JUN
HTR6	COPS5
COPS5	HSP90AA1
HTR6	ATM
ATM	TP53
COPS5	JUN
HTR7	CUL3
CUL3	HSP90AA1
CUL3	YWHAZ
CUL3	ATF2
ATF2	JUN
DRD1	RANBP9
RANBP9	APP
APP	C9orf41
C9orf41	NR3C2
RANBP9	ESR1
ESR1	TP53
RANBP9	NR3C1
NR3C1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD3	EPB41L1
EPB41L1	APP
EPB41L1	COPS5
COPS5	TP53
DRD4	ARRB2
ARRB2	PTGES3
PTGES3	NR3C2
DRD4	STUB1
STUB1	TP53
ARRB2	MAP2K4
MAP2K4	JUN
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
AP2M1	BCR
BCR	TP53
AP2M1	AP1G1
AP1G1	JUN
ADRA1D	DTNA
DTNA	MYO1E
MYO1E	CAND1
DTNA	NMT1
NMT1	TP53
ADRA1D	GOPC
GOPC	RELA
ADRA2A	UCHL1
UCHL1	HSP90AA1
UCHL1	TP53
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	AGO2
AGO2	HSP90AA1
GPRASP2	TXN
TXN	TP53
GPRASP2	AP1G1
CHRM2	SET
SET	APP
SET	TP53
SET	NR3C1
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CHRM3	SET
CREB3L1	CRH
LEF1	CCND1
MITF	TYRP1
EGR2	ABCB1
JUND	PLAT
ETS2	VWF
