HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAPK1
MAPK1	JUND
ARRB2	POLR2E
POLR2E	FOS
MAPK1	SP1
ARRB2	NPM1
NPM1	TFAP2A
ARRDC3	NEDD4
NEDD4	SMAD2
SMAD2	ETV4
ITCH	JUN
ARRB2	AKT1
AKT1	CREB1
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	STAT1
NEDD4	SMAD3
TP53	ETS1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
EP300	USF2
ARRDC3	WWP1
WWP1	SMAD4
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	ALYREF
ALYREF	LEF1
ARRDC3	HGS
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ARRB2	YWHAQ
YWHAQ	YAP1
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
ARRB2	MAPK9
MAPK9	JUNB
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
NEDD4	ERG
XRCC6	POU2F2
ARRB2	CDK3
CDK3	PPARA
NEDD4	SMAD7
HSP90AA1	NFIC
TRIM28	MYB
JUN	CREB3
MAPK1	ATF2
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
MAPK1	ELK1
TP53	ETS2
MAPK1	STAT5A
INSR	STAT5B
ARRB2	SFPQ
SFPQ	SP3
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB2	CSNK2A1
CSNK2A1	ATF1
C1QBP	CEBPA
NFKBIA	NFKB2
XRCC6	PGR
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
