DDC	RELA
RELA	JUN
RELA	SP1
RELA	STAT3
STAT3	STAT1
RELA	EP300
EP300	ETS1
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
RELA	FOS
RELA	NFKB1
EP300	MYC
EP300	EPAS1
EP300	IRF3
RELA	TP53
RELA	PPARA
RELA	RXRA
RELA	NR3C1
NR3C1	RXRB
PPARA	RXRG
EP300	STAT5A
NR3C1	STAT5B
EP300	STAT2
JUN	STAT4
STAT3	STAT6
RELA	SMAD3
SMAD3	IRF7
RELA	MDM2
MDM2	MYD88
RELA	POU2F1
SMAD3	YAP1
RELA	HDAC1
HDAC1	GLI2
CREBBP	GLI3
EP300	TFAP2A
RELA	EGR1
RELA	TBP
TBP	SPI1
EP300	CREB1
RELA	NFKB2
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
SMAD3	CEBPA
RELA	SP3
RELA	BRCA1
BRCA1	FLI1
RELA	HDAC2
HDAC2	GLI1
RELA	PPARG
EP300	Cebpb
Cebpb	NFIC
BRCA1	ATF1
RELA	HSPA8
HSPA8	ERG
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB3L4	PDYN
CREB3L2	PDYN
RELA	BIRC8
RELA	BIRC2
GLI1	WNT7A
GLI1	WNT7B
GLI2	BMP2
GLI3	WNT4
NPAS2	PER2
CLOCK	RORC
LEF1	CCND1
VDR	TRPV5
VDR	SLC8A1
VDR	CALB1
MAPK11	CXCL1
RBPJL	CR2
ELK1	BIRC2
IRF3	IFNB1
IRF7	IFNB1
NFATC4	TNF
MAPK8	SMAD4
MAPK9	JUN
RELA	MMP9
CREBBP	ANGPT1
CREBBP	ANGPT2
CREBBP	NOS2
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	PGF
EP300	ANGPT1
EP300	ANGPT2
EP300	NOS2
EP300	PDK1
EP300	PFKFB1
EP300	PGF
HIF1A	ANGPT1
HIF1A	ANGPT2
HIF1A	NOS2
HIF1A	PDK1
HIF1A	PFKFB1
ARNT	ENO2
ARNT	ALDOA
ARNT	SLC2A1
ARNT	TFRC
ARNT	VEGFB
NFKB1	HIF1A
YAP1	CTGF
YAP1	BBC3
YAP1	ITGB2
YAP1	SERPINE1
YAP1	CCND2
WWTR1	AFP
WWTR1	AREGB
SMAD1	ID3
SMAD3	CTGF
SMAD4	ID1
SMAD4	ID4
TEAD1	BIRC2
TEAD1	SNAI2
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	CCND3
TEAD3	MYC
TEAD3	AXIN1
TCF7L1	AXIN1
TEAD2	MYC
TEAD2	NKD1
SMAD3	SLC2A1
STAT5A	CCND1
STAT6	MYC
EP300	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
NFKB2	CXCL12
RELA	GADD45B
RELA	NFKB2
RELA	NFKBIA
RELA	TRAF1
RELA	TRAF2
RELB	TNFSF13B
RELB	ICAM1
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CB	AKT2
PIK3CD	PDPK1
PIK3CG	AKT3
PIK3CG	AKT2
PIK3CG	PDPK1
PLCG2	EGFR
PIK3R3	AKT3
PIK3R3	AKT2
PIK3R3	PDPK1
TP53	RRM2B
TP53	PMAIP1
STAT3	VEGFC
EPAS1	FIGF
EPAS1	SLC2A1
ETS1	MMP1
MYC	MMP1
NFKB2	BCL2
NFKB2	BCL2L1
NFKB2	TRAF6
RELA	TRAF4
CREB3	BCL2
PPARA	APOA5
PPARA	CPT2
PPARA	EHHADH
PPARA	ACAA1
PPARA	LPL
PPARG	CPT1C
PPARG	CPT1A
PPARG	ACSL3
PPARG	LPL
PPARG	PLIN1
RXRA	ACSBG1
RXRA	UCP1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRA	CD36
RXRB	ACSL1
RXRB	CYP4A22
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	ME1
RXRB	PCK2
RXRG	CYP8B1
RXRG	DBI
NFYA	HLA-DQA2
MAPK1	IL1A
MAPK11	IL23A
RFX5	LOC100507714
RFX5	LOC101060835
RFX5	HLA-DPA1
RFX5	HLA-DQA1
RFX5	HLA-DQA2
MAPK12	IL23A
STAT1	NOS2
RFXANK	LOC100509457
RFXANK	LOC101060835
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
CREB3L4	AQP2
ELK1	TWF2
USF1	APOC3
USF2	APOC3
NFKB1	CSF1
ETS1	CSF2
NFIC	CYP17A1
MYC	EIF4E
NFKB1	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
JUND	F3
REL	F3
RELA	F3
CEBPB	F8
NFKB1	F8
AR	F9
CEBPD	IL6
NFIC	JUN
RARB	JUN
TFAP2A	MT1A
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
ATF4	PTGS2
RARB	PTGS2
CREB1	REN
SP1	RPL10
SP1	SERPINB2
CEBPA	SERPINC1
WT1	SOD1
EGR1	TFPI2
STAT1	TP53
FOS	TSHB
ETS2	VWF
