SCN5A	NEDD4
NEDD4	SMAD3
SMAD3	SP1
NEDD4	BTRC
BTRC	HSF1
NEDD4	IGF1R
IGF1R	TP53
NEDD4	EGFR
EGFR	STAT3
SMAD3	CEBPB
BTRC	REL
CHRM1	GPRASP2
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
CHRM1	GPRASP1
GPRASP1	OPRD1
OPRD1	HSPA4
HSPA4	HSF1
TXN	TP53
OPRD1	SIAH1
SIAH1	STAT3
TXN	NR3C1
NR3C1	SMAD3
GPRASP2	AP1M1
AP1M1	BRCA1
BRCA1	CEBPB
HSPA4	REL
CHRM2	SET
SET	TP53
TP53	SP1
CHRM2	GPRASP1
SET	NR3C1
NR3C1	STAT3
CHRM2	Set
Set	Csnk1e
Csnk1e	HNRNPK
HNRNPK	CEBPB
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	HSPA4
SET	APP
APP	GSK3B
GSK3B	CEBPB
CSNK1A1	NFKBIA
NFKBIA	REL
KCND2	FLNC
FLNC	MAP2K4
MAP2K4	PML
PML	SP1
KCND2	KCNIP3
KCNIP3	UBE2I
UBE2I	HSF1
FLNC	IKBKB
IKBKB	TP53
MAP2K4	MAPK8
MAPK8	STAT3
MAP2K4	MAPK1
MAPK1	SMAD3
KCNIP3	CREB1
CREB1	CEBPB
KCND2	KCNE4
KCNE4	FLNA
FLNA	REL
KCND3	CDK1
CDK1	SP1
KCND3	HSPA5
HSPA5	HSPA4
KCND3	XRCC6
XRCC6	TP53
KCND3	SRC
SRC	STAT3
HSPA5	EP300
EP300	SMAD3
EP300	CEBPB
EP300	REL
RBPJ	FCER2
FOXO1	G6PC2
SOS1	SPRY3
PAX6	GCK
PAX6	INS
NFYA	CD74
MAPK3	IL1A
MAPK3	IL12A
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TP53	CAV1
