KCNJ11	YWHAB
YWHAB	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
YWHAB	APP
APP	MYC
MYC	TFAP2A
MYC	ZBTB17
APP	MAPK8
MAPK8	PIAS2
YWHAB	HDAC4
HDAC4	NFKB1
YWHAB	PRKCZ
PRKCZ	RELA
PRKCZ	SP1
MAPK8	HSF1
YWHAB	GRIP1
GRIP1	CREBBP
YWHAB	HSPA5
HSPA5	EP300
YWHAB	HES1
HES1	STAT3
YWHAB	UBC
UBC	ATF6
YWHAB	ABL1
ABL1	TP73
HDAC4	HIF1A
YWHAB	TRIM32
TRIM32	RXRA
YWHAB	AKAP13
AKAP13	RXRB
YWHAB	YWHAZ
YWHAZ	AJUBA
AJUBA	RXRG
HDAC4	STAT1
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAQ
SLC9A3R1	YWHAZ
YWHAZ	TP53
TP53	TFAP2A
YWHAQ	HSPB1
HSPB1	ZBTB17
KCNJ1	SH3RF1
SH3RF1	SIAH1
SIAH1	PIAS2
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
KCNJ1	SLC9A3R2
SLC9A3R2	PPT1
PPT1	HSF1
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
SLC9A3R1	YAP1
YAP1	EP300
YWHAZ	UBC
YAP1	TP73
CAPN1	HIF1A
YWHAQ	NRIP1
NRIP1	RXRA
SLC9A3R2	ACTN4
ACTN4	RARA
RARA	RXRB
SLC9A3R1	PIK3CA
PIK3CA	STAT1
ABCC8	RAPGEF4
RAPGEF4	TRAF2
TRAF2	SMURF1
TRAF2	ELAVL1
ELAVL1	TFAP2A
TRAF2	ZBTB49
ZBTB49	ZBTB17
TRAF2	PIAS2
RAPGEF4	RAP1A
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	NTRK1
NTRK1	RELA
RAP1A	HDAC1
HDAC1	SP1
HSPA4	HSF1
HDAC1	CREBBP
HDAC1	EP300
NTRK1	STAT3
TRAF2	UBC
HDAC1	TP73
RAP1A	FAF1
FAF1	HIF1A
TRAF2	NRIP1
ABCC8	KCNJ11
NTRK1	CUL1
CUL1	RXRG
NTRK1	STAT1
NFKB1	SOCS3
PPARA	CPT1A
RELA	SOCS3
GLI3	BMP4
ELK1	CCND1
MAPK9	SMAD4
CREB3L2	PCNA
CREBBP	PFKFB2
CREBBP	SLC2A1
EP300	PFKFB2
SMAD2	CTGF
TEAD1	AXIN1
FOXO1	PCK1
STAT5A	SOCS4
STAT5B	SOCS5
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
TP53	PERP
NFKB2	TRAF5
PPARA	DBI
PPARG	ACSL1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DQA2
MAPK3	IL12A
MAPK10	TNF
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
E2F4	CAV1
SP1	CAV1
MYC	CSTB
SP3	CTSB
POU2F2	MYC
PPARA	NFKBIA
MYC	NME1
MYC	NME2
POU2F1	TFPI2
