ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	ESR1
AP2M1	EEF1A1
EEF1A1	CBS
CBS	HSF1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
EP300	ATF4
EP300	CREB1
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	APC
APC	CREBBP
AP2M1	STX8
STX8	CREB3
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
CREB3	CREB3L2
AP2M1	CSNK2B
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	EPS15
EPS15	TRAF2
TRAF2	CREB5
EP300	NFKB1
EP300	HIF1A
EP300	ARNT
EP300	ZBTB17
EEF1A1	GTF2I
GTF2I	PIAS2
EP300	ETS1
HSPA8	RELA
SFPQ	PPARG
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	FOS
EP300	STAT3
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
DTNA	ACTB
ACTB	ESR1
ADRA1D	GOPC
GOPC	HSF1
GOPC	RELA
RELA	JUN
RELA	ATF4
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
ACTB	EP300
EP300	ATF2
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
ABCA1	COPS5
COPS5	CREB3
NUP62	NXF1
NXF1	ATF6B
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
GOPC	KPNA1
KPNA1	RUNX1T1
RUNX1T1	CREB3L1
SNTB2	MAST2
MAST2	TRAF2
RELA	NFKB1
RELA	HIF1A
GOPC	ZBTB49
ZBTB49	ZBTB17
ADRA1D	ERLIN2
ERLIN2	SREBF2
SREBF2	PIAS2
RELA	PPARG
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	FOS
RELA	STAT3
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	HSPA8
HSP90AA1	HSF1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
YWHAE	SHMT2
SHMT2	ATF4
ABL1	CREB1
YWHAE	MAPK14
MAPK14	ATF2
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
SHMT2	CREB3
HSP90AA1	CDK6
CDK6	ATF6B
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
HSP90AA1	BRCA1
BRCA1	CREB5
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	HIF1A
HSP90AA1	ARNT
HSP90AA1	ZBTB17
HSPA8	TP53
TP53	PIAS2
TP53	ETS1
YWHAE	XPO1
XPO1	PPARG
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
ABL1	FOS
HSP90AA1	STAT3
IFNG	IDO1
TNF	ICAM1
CREB3	CRH
CREB3	FOSB
CREB1	CRH
CREB1	FOSB
ATF2	CRH
ATF2	FOSB
ATF6B	CRH
ATF6B	FOSB
CREB3L4	NPY
CREB3L4	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	CRH
CREB3L2	FOSB
GLI3	BMP4
ATF6B	PCNA
MAPK9	JUN
CREBBP	ENO2
CREBBP	PFKFB1
EP300	ENO2
EP300	PFKFB1
HIF1A	ENO2
HIF1A	PFKFB1
SOS1	SPRY3
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
TP53	PERP
NFKB1	NOS2
FOXO3	G6PC
PPARA	ACOX2
RXRA	CPT1C
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
MAPK8	TNF
USF1	APOC3
USF2	APOC3
TP53	CAV1
E2F+P170	CCNA2
MYC	CCNB1
CREB1	IFNG
REL	IFNG
STAT1	IFNG
CREB1	NRAS
JUN	NRAS
ATF1	NTS
CREB1	NTS
JUND	NTS
MYC	ODC1
WT1	ODC1
CEBPA	PCK2
BRCA1	PCNA
TP53	PCNA
SP3	PDGFB
FOS	PDHA1
TFAP2A	PDHA1
PAX6	PDHX
FOS	PENK
JUN	PENK
POU2F1	TFPI2
