NISCH	IRS1
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	SP1
ESR1	HIF1A
SIRT1	JUND
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
EP300	ARNT
SIRT1	FOS
SIRT1	EPAS1
ESR1	SMAD2
IRS1	APP
APP	MAPK8
MAPK8	CEBPA
APP	MAPK7
MAPK7	ETS1
IRS1	PIK3CA
PIK3CA	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
EP300	USF2
IRS1	IGF1R
IGF1R	TP53
IRS1	AKT1
AKT1	CREB1
IRS1	SOCS3
SOCS3	NFKB1
ESR1	STAT3
IRS1	PTK2
PTK2	STAT1
AKT1	RARA
MAPK8	JUNB
APP	MYC
MYC	RUNX1
IRS1	HDAC2
HDAC2	RUNX1T1
MYC	TFAP2A
SIRT1	PPARA
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
ELK1	CCND2
JUN	CCND2
ATF2	IL8
NFATC4	TNF
MAPK8	JUN
MAPK9	JUN
STAT1	MYD88
CREB3L3	IL8
CREBBP	CDKN1B
CREBBP	NOS2
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	TEK
CREBBP	TFRC
EP300	CDKN1B
EP300	NOS2
EP300	ANGPT4
EP300	PFKFB1
EP300	TEK
EP300	TFRC
HIF1A	CDKN1B
HIF1A	NOS2
HIF1A	ANGPT4
HIF1A	PFKFB1
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
TEAD1	CTGF
TEAD4	SOX2
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
EP300	MITF
NFKB1	IL1B
NFKB1	TRAF1
NFKB2	TNFSF13B
NFKB2	CXCL12
RELA	CXCL2
RELA	NFKBIA
RELB	ICAM1
PIK3CA	AKT3
PIK3CA	PDPK1
PIK3CG	PDPK1
EPAS1	PDGFB
FOS	MMP1
NFKB2	TRAF2
RELA	MYB
PPARA	CYP7A1
PPARD	LPL
PPARG	CYP27A1
RXRA	EHHADH
RXRB	PCK1
MAPK1	IL18
MAPK1	NOS2
USF1	APOC3
USF2	APOC3
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
NFKB1	CSF1
ETS1	CSF2
REL	CSF2
RELA	CSF2
SP3	DNASE2
TFAP2A	GH2
USF1	GH2
SP1	IL2
RELA	IL2RA
TFAP2A	IL6
USF1	IL6
SP1	KRT5
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
RARA	MIF
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
CEBPE	MYB
EGR1	MYB
RELA	MYC
SP1	MYC
MYBL1	NCL
JUN	NFKB2
SP1	NFKB2
