DDC	RELA
RELA	BRCA1
BRCA1	E2F4
RELA	JUN
RELA	EP300
EP300	MYC
RELA	MAPK14
MAPK14	ATF6
RELA	FOS
EP300	ETS1
RELA	TP53
EP300	E2F1
EP300	MAX
RELA	STAT3
STAT3	RB1
RB1	E2F2
RELA	HDAC1
HDAC1	E2F3
STAT3	MAPK1
BRCA1	MAPK3
STAT3	EGFR
EGFR	SOS1
RELA	ESR1
ESR1	SOS2
EP300	MYB
STAT3	STAT1
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
EP300	CREB1
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
SMAD3	YAP1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
E2F1	TEAD3
CREBBP	ELK1
SMAD3	CEBPA
JUN	STAT4
EP300	TFAP2A
EP300	FOXO3
RELA	PPARG
RELA	SP1
EP300	ATF2
RELA	PPARA
EP300	STAT5A
RELA	NR3C1
NR3C1	STAT5B
RELA	HDAC3
HDAC3	CREB3
BRCA1	NFYA
NFYA	ATF6B
RELA	ATF4
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	CREB5
RELA	NCOR2
NCOR2	PPARD
EP300	STAT2
STAT3	STAT6
RELA	RXRA
NR3C1	RXRB
PPARA	RXRG
RELA	NFKB1
RELA	POU2F1
RELA	NFKB2
ATF6B	FOS
ATF4	FOS
GLI2	WNT2B
GLI3	WNT16
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
TCF7L2	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
TP53	SESN3
TP53	GTSE1
TP53	BAI1
NFKB1	FIGF
NFKB1	VEGFC
ETS1	MMP1
HIF1A	TGFB1
MYC	VEGFC
CREB3	BCL2
CREB1	BCL2
FOXO3	CDKN1B
PPARA	LPL
PPARA	ACOX1
PPARA	ACSBG2
PPARG	PLIN1
PPARG	UCP1
RXRA	APOA5
RXRA	ACADL
RXRB	APOC3
MYD88	IFNA8
NFKB1	IL23A
NFYC	HLA-DRB5
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
LEF1	PPARD
TP53	CAV1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
POU2F1	HIST2H2BE
POU2F2	HLA-DRA
POU5F1	HMGB2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
RARA	MIF
RARG	MIF
CEBPA	MMP11
ERG	MMP2
BCL3	MYB
POU2F2	MYC
ETS1	PRL
CEBPD	PTGS2
POU2F2	SPP1
JUN	TFF1
NFIC	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
E2F4	TOP1
NFKB1	TP53
PAX5	TP53
CREB1	TRH
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
