AKR1D1	SIRT1
SIRT1	JUN
SIRT1	STAT3
STAT3	STAT1
SIRT1	SMAD7
SMAD7	YAP1
SIRT1	MEF2C
MEF2C	TEAD1
SIRT1	RB1
RB1	TRIM27
TRIM27	TEAD4
SIRT1	E2F1
E2F1	TEAD3
STAT3	EGFR
EGFR	SOS1
SIRT1	ESR1
ESR1	SOS2
ESR1	STAT5A
SIRT1	JAK1
JAK1	STAT5B
SIRT1	TRIM28
TRIM28	STAT4
SIRT1	HSP90AA1
HSP90AA1	STAT2
STAT3	STAT6
SIRT1	TLE1
TLE1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
DAZAP2	TCF7
SIRT1	UBE2I
UBE2I	TCF7L2
SIRT1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
UBE2I	ELK1
LEF1	MYC
TCF7	BIRC5
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
ETS1	VWF
NFIC	VWF
