ADRA1B	AP2M1
AP2M1	BCR
BCR	RB1
RB1	TFDP2
BCR	TP53
AP2M1	SFPQ
SFPQ	SP1
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	UBC
UBC	E2F1
SFPQ	SP3
AP2M1	CSNK2B
CSNK2B	BRCA1
BRCA1	FLI1
RB1	TFDP1
RB1	E2F2
RB1	E2F3
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
EP300	STAT3
CSNK2B	STAT5A
BCR	PTPN6
PTPN6	STAT5B
EP300	STAT1
EP300	STAT2
AP2M1	AP1G1
AP1G1	JUN
JUN	STAT4
AP2M1	EEF1A1
EEF1A1	STAT6
RB1	E2F4
CSNK2B	MYC
EP300	MYB
EP300	MYBL2
ADRA1D	AMFR
AMFR	TRIM28
TRIM28	E2F1
E2F1	TFDP2
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
DTNA	NUP62
NUP62	SP1
DTNA	ACTB
ACTB	EP300
EP300	TFAP2A
ADRA1D	GOPC
GOPC	RELA
RELA	SP3
GOPC	BECN1
BECN1	BRCA1
TP53	TFDP1
GOPC	CDC42
CDC42	BCAR1
BCAR1	E2F2
TRIM28	E2F3
RELA	NFKB1
RELA	STAT3
EP300	STAT5A
AMFR	HAX1
HAX1	STAT5B
GOPC	KPNA1
KPNA1	STAT1
TRIM28	STAT4
AMFR	EEF1A1
RELA	JUN
TRIM28	E2F4
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
GOPC	HSF1
HSF1	MYB
KCNH2	YWHAE
YWHAE	YWHAQ
YWHAQ	E2F1
KCNH2	HSPA8
HSPA8	TP53
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	NPM1
NPM1	TFAP2A
HSPA8	ESR1
ESR1	SP3
HSP90AA1	BRCA1
YWHAE	BCAR1
HSP90AA1	BCL6
BCL6	E2F3
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	STAT3
ESR1	STAT5A
HSPA8	NMI
NMI	STAT5B
YWHAE	XPO1
XPO1	STAT1
HSP90AA1	STAT2
YWHAQ	TRIM28
YWHAE	USP8
USP8	STAT6
YWHAE	ABL1
ABL1	JUN
XPO1	E2F4
HSP90AA1	MYC
YWHAE	RPL4
RPL4	MYB
HSP90AA1	SKP2
SKP2	MYBL2
ADRA2A	GNAI2
GNAI2	NUCB1
NUCB1	RBL1
RBL1	TFDP2
ADRA2A	UCHL1
UCHL1	TP53
UCHL1	CTNNB1
CTNNB1	SP1
GNAI2	NPM1
UCHL1	UBC
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
PIAS1	FLI1
GNAI2	TRIP6
TRIP6	BCAR1
RBL1	E2F3
UCHL1	COPS5
COPS5	NFKB1
NPM1	RELA
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
GNAI2	ITCH
ITCH	ERBB4
ERBB4	STAT5A
GNAI2	PLSCR1
PLSCR1	EGFR
EGFR	STAT5B
MTOR	STAT1
UCHL1	HSP90AA1
ITCH	JUN
TP53	STAT6
GNAI2	GNAI3
GNAI3	XPO1
UCHL1	CDK4
CDK4	MYC
UCHL1	UBE2I
UBE2I	MYB
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	MAP1LC3B
MAP1LC3B	MYBL2
ADRA2B	UCHL1
UBE2I	RB1
TP53	TFAP2A
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
CTNNB1	BRCA1
EIF2B1	GORASP2
GORASP2	SHMT2
SHMT2	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
TP53	RELA
CTNNB1	EP300
UBE2I	NR3C1
NR3C1	STAT5B
UBE2I	STAT1
UBE2I	TRIM28
UBE2I	JUN
BRCA1	E2F4
GORASP2	MAP1LC3B
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
E2F1	CCNE2
E2F2	CCNE2
E2F3	CCNE2
TFDP1	CCNE2
TFDP2	CCNE2
STAT1	MYC
STAT1	PIM1
STAT1	SOCS5
STAT2	MYC
STAT2	PIM1
STAT2	SOCS5
STAT3	MYC
STAT3	SOCS5
STAT4	MYC
STAT4	PIM1
STAT4	SOCS5
STAT5A	MYC
STAT5A	SOCS5
STAT5B	MYC
STAT5B	SOCS5
STAT6	MYC
STAT6	PIM1
STAT6	SOCS5
NFKB1	TRAF2
RELA	TRAF2
TP53	IGFBP3
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
JUN	VEGFA
MYC	VEGFA
SP1	ALDH3A1
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
E2F4	MYC
MYC	MYC
JUN	MYC
MYB	MYC
MYBL2	MYC
NFKB1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYB	NCL
SP3	PFKP
E2F4	RBL1
MYBL2	RBL1
TP53	S100B
JUN	TXN
