HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	MAPK1
MAPK1	ATF2
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
NFKBIA	NFKB1
ARRDC3	NEDD4
NEDD4	SMAD7
ARRB2	PRMT5
PRMT5	RELA
NEDD4	PPARG
MAPK1	SP1
NEDD4	SMAD2
SMAD2	ETV4
ARRB2	TRIM28
TRIM28	E2F4
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	CSNK2A1
CSNK2A1	ATF1
ADRB2	REL
ITCH	TP53
TP53	ETS1
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	ALYREF
ALYREF	LEF1
ARRB2	CAPN1
CAPN1	HIF1A
TCF7	BIRC5
TCF7L2	CCND1
TCF7L1	MYC
JUN	CXCL1
EP300	EGF
ARNT	FIGF
ARNT	TIMP1
TEAD3	CTGF
STAT4	CCND3
STAT4	SOCS5
STAT5B	CCND2
STAT5B	SOCS3
MYC	VEGFC
FOXO3	CDKN1B
FOXO3	G6PC2
PPARA	ACSBG2
PPARD	CPT1A
RXRA	APOA5
RXRA	CYP4A11
RXRG	EHHADH
IRF7	IFNA8
TP53	BAK1
ATF1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
CREB1	BRCA1
E2F4	CAV1
SP1	CAV1
JUN	CYP11A1
SP3	DKC1
FOS	HLA-DRA
POU2F2	HLA-DRA
POU5F1	HMGB2
CEBPB	IGF2
EGR1	IGF2
WT1	IGF2
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPB	IL1A
SP1	IL1A
ATF1	IL1B
CEBPB	IL1B
SP1	IL1B
CREB1	IL2
NFKB2	IL8
ATF2	INS
NFKB1	IRF1
STAT1	IRF1
CEBPA	ITGA2
NFIC	VWF
SMAD4	ZFP36
