HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	JUN
CBL	GRB2
GRB2	EP300
EP300	EGR1
CTNNB1	HIF1A
EP300	ETS1
SMAD3	FOS
SMAD3	MAPK1
CBL	MAPK14
MAPK14	MAPK3
CBL	MAPK8
MAPK8	MYC
CBL	ABL1
ABL1	CREB1
CBL	EGFR
EGFR	STAT3
CBL	HSPA4
HSPA4	NFKB1
CTNNB1	CREBBP
EP300	ARNT
EP300	TFAP2A
MAPK14	ATF6
CBL	YWHAZ
YWHAZ	TP53
CBL	BAG1
BAG1	RARA
SMAD3	JUND
CBL	HSPA8
HSPA8	RELA
SMAD3	NCOA1
NCOA1	RARB
YWHAZ	AJUBA
AJUBA	RARG
GRB2	REL
SMAD3	ATF3
GRB2	HSP90AA1
HSP90AA1	NFIC
HSPA8	POU2F1
EGFR	STAT1
EP300	ATF4
MAPK14	HOXA5
SMAD3	JUNB
GRB2	HTT
HTT	ETV4
SMAD3	SMAD4
CBL	STAP2
STAP2	MYD88
SMAD3	MAX
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
CDKN2A	EGR1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
FLNA	REL
REL	EP300
FLNA	LMNA
LMNA	PML
PML	FOS
FLNA	ITGB6
ITGB6	MAPK1
DRD2	CALM1
CALM1	SNCA
SNCA	MAPK3
EPB41L1	APP
APP	MYC
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
REL	NFKB1
REL	CREBBP
CALM1	HSP90AA1
HSP90AA1	ARNT
LMNA	RB1
RB1	TFAP2A
CALM1	GTF2I
GTF2I	ATF6
FLNA	RANBP2
RANBP2	TP53
PAWR	SQSTM1
SQSTM1	RARA
COPS5	JUND
REL	RELA
COPS5	NCOA1
FLNA	SRRM2
SRRM2	MRPL12
MRPL12	RARG
STAT1	ATF3
LMNA	LMNB1
LMNB1	POU2F1
PAWR	SHMT2
SHMT2	ATF4
SRRM2	ELAVL1
ELAVL1	HOXA5
EP300	JUNB
PAWR	AATF
AATF	SMAD3
REL	ATXN1
ATXN1	ETV4
COPS5	SMAD4
SQSTM1	MYD88
FLNA	DYNC1H1
DYNC1H1	MAX
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
TCF7	BIRC5
TCF7L2	CCND1
JUN	CXCL1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK8	JUN
MAPK10	SMAD4
RELA	IL6
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	PFKL
EP300	ANGPT4
EP300	PFKFB4
EP300	PFKL
HIF1A	ANGPT4
TEAD1	SOX2
TEAD3	CTGF
SOS1	SPRY2
SOS1	SPRED1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
HNF1A	FOXA3
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RELA	VEGFC
STAT1	FIGF
RXRA	ACADL
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
RFX5	HLA-DMA
RFX5	HLA-DMB
RFX5	HLA-DRB5
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
LEF1	MMP7
LEF1	PPARD
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
SP1	REL
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
USF1	APOC3
USF2	APOC3
TP53	CAV1
CREB1	CYP11A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
USF2	FBP1
EGR1	FCER2
PAX5	FCER2
CREB1	FN1
POU5F1	HMGB2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
SP1	JUN
PGR	KLK3
SP3	KLK3
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
BCL3	MYB
POU2F2	MYC
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
NFIC	VWF
SMAD4	ZFP36
