GLI3	WNT16
TCF7	BIRC5
NFKB1	CCL5
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK13	IL1B
MAPK13	IL6
RFXAP	HLA-DPB1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1B
ETS2	CGA
SP3	CHI3L1
USF1	CHI3L1
MYBL2	COL1A1
PPARG	EGFR
REL	EGFR
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
ERG	JUN
JUN	TFF1
NFIC	VWF
