NISCH	IRS1
IRS1	UBC
UBC	ATF6
IRS1	ESR1
ESR1	SP1
IRS1	SIRT1
SIRT1	JUN
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
ESR1	HIF1A
EP300	ARNT
IRS1	PIK3CA
PIK3CA	SMAD3
IRS1	APP
APP	CSNK1D
CSNK1D	SMAD4
ESR1	STAT3
APP	MAPK7
MAPK7	ETS1
APP	MYC
MYC	TFAP2A
SIRT1	JUND
IRS1	AKT1
AKT1	CREB1
APP	MAPK8
MAPK8	JUNB
APP	RFX5
RFX5	PPARG
MAPK8	CEBPA
ESR1	SMAD2
MYC	ZBTB17
AKT1	PIAS2
SIRT1	FOS
IRS1	IGF1R
IGF1R	TP53
MAPK8	ATF2
APP	ELK1
ELK1	FLI1
ESR1	SP3
GLI2	WNT10B
GLI2	WNT11
GLI2	WNT2B
GLI2	WNT9A
GLI2	WNT9B
GLI2	WNT10A
GLI3	WNT16
GLI3	BMP4
CTNNB1	CCND2
JUN	CCND2
MAPK8	JUN
MAPK10	SMAD4
CREB3L3	IL8
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	TFRC
EP300	ANGPT4
EP300	PFKFB4
EP300	TFRC
HIF1A	ANGPT4
TP53	PERP
MYC	IL8
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	SCP2
MAPK1	IL18
MAPK1	NOS2
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
JUN	CYP11A1
SP1	KRT5
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
PPARA	LIPA
PPARD	LIPA
POU2F2	MYC
LEF1	SPP1
POU2F1	SPP1
POU2F2	SPP1
SP1	SPP1
NFIC	STMN1
SP1	TAF7
JUN	TFF1
POU2F1	TFPI2
