HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	E2F4
CBL	ABL1
ABL1	CREB1
CBL	MAPK8
MAPK8	MYC
SMAD3	ATF2
CBL	GRB2
GRB2	EP300
EP300	ATF4
EP300	TFAP2A
CBL	CTNNB1
CTNNB1	COPS5
COPS5	CREB3
GRB2	RBM33
RBM33	ATF6B
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
CBL	HSPA4
HSPA4	NFKB1
GRB2	HSP90AA1
HSP90AA1	NFIC
SMAD3	JUN
CBL	YWHAQ
YWHAQ	E2F1
CTNNB1	BRCA1
CTNNB1	SP1
SMAD3	FOS
CBL	EGFR
EGFR	STAT1
CTNNB1	HIF1A
GRB2	BCAR1
BCAR1	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
MAPK8	PAX2
EGFR	STAT3
CBL	HSPA8
HSPA8	RELA
CTNNB1	CREBBP
EP300	ARNT
EP300	ETS1
HSP90AA1	PPARA
MAPK8	HSF1
GRB2	HTT
HTT	ETV4
MAPK8	ELK4
CBL	SMAD7
SMAD7	SRF
CTNNB1	TCF3
TCF3	ELK3
SMAD3	SMAD4
EP300	SP3
ABL1	TP73
HSP90AA1	NR3C2
SMAD3	JUND
SMAD3	YAP1
YWHAZ	WWTR1
EP300	EGR1
BRCA1	FLI1
SMAD3	JUNB
CTNNB1	ESR1
EP300	PAX5
CBL	BAG1
BAG1	RARA
CTNNB1	LEF1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
EP300	FOSB
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
EP300	MYB
EP300	ETS2
MAPK8	ELK1
EGFR	STAT5A
EGFR	STAT5B
SMAD3	RUNX1
HDAC1	RUNX1T1
SMAD3	EPAS1
CBL	IRS1
IRS1	BCL2
BCL2	BBC3
