ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
IGF1R	CSK
CSK	JUN
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	POU2F1
COL1A1	P4HB
P4HB	VCP
VCP	MAPK1
VCP	MAPK3
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
IGFBP3	FN1
FN1	UBC
UBC	ATF6
FN1	UBE2L3
UBE2L3	FOS
ITGB1	TUBA1A
TUBA1A	MYC
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	UBL4A
UBL4A	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	MAX
UBL4A	TXN
TXN	NFKB1
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	NCL
NCL	SP1
UBL4A	KPNA2
KPNA2	RELA
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
FN1	SMAD4
SMAD4	ATF2
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	TRIB3
TRIB3	ATF4
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
IGF1R	ESR1
ESR1	SP3
FN1	RBL1
RBL1	E2F4
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
TP53	EGR1
HSP90AA1	PPARA
XRCC6	PGR
CD44	STAT3
TP53	ETS2
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
ATF4	FOSB
CREB3L2	FOSB
CREB3L1	FOSB
CREB5	FOSB
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1B
CREBBP	ANGPT1
EP300	CDKN1B
EP300	ANGPT1
HIF1A	CDKN1B
HIF1A	ANGPT1
ARNT	CDKN1B
ARNT	ANGPT1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
MAPK1	CDK4
MAPK3	CDK4
TP53	BAX
TP53	TNFRSF10B
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
PPARA	ACSL3
PPARA	ACADM
RXRA	ACSL3
RXRA	ACADM
RXRB	ACSL3
RXRB	ACADM
RXRG	ACSL3
RXRG	ACADM
MAX	CDK4
NFKB1	IL18
MAPK1	IL18
MAPK3	IL18
RELA	IL18
LEF1	FOSL1
TCF7	FOSL1
TCF7L2	FOSL1
TCF7L1	FOSL1
SP1	CDK1
HIF1A	BNIP3
NFKB1	CD83
SP1	CD83
SP3	CD83
E2F4	CDK1
ETS2	CDK1
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
RELA	HDAC1
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
TP53	KLK3
TFAP2A	KRT14
SP1	MAT2B
SP3	MAT2B
HIF1A	NR4A1
RELA	NR4A1
MYC	ODC1
CREB1	ODC1
SP1	ODC1
E2F4	PCNA
TP53	PCNA
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
EGR1	PTP4A1
EGR1	TFPI2
JUN	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
POU2F1	TXNRD1
ATF6	XBP1
