GABRA1	PRKCD
PRKCD	STAT1
PRKCD	EP300
EP300	IRF3
PRKCD	STAT3
STAT3	JUN
EP300	FOS
PRKCD	APP
APP	MYC
EP300	ETS1
STAT3	HIF1A
EP300	CREBBP
EP300	ARNT
STAT3	NFKB1
EP300	NEUROD1
STAT3	HDAC1
HDAC1	NKX2-2
EP300	PAX6
STAT3	RELA
EP300	EPAS1
STAT3	ALK
ALK	PDX1
EP300	TFAP2A
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
PRKCD	SP1
EP300	CREB1
PRKCD	ELAVL1
ELAVL1	CEBPA
STAT3	PML
PML	SPI1
PRKCD	TP53
EP300	ATF2
EP300	FOXO1
EP300	REL
REL	NEUROG3
EP300	TP63
TP63	ETV4
PRKCD	HSP90AA1
HSP90AA1	PPARA
EP300	ATF4
EP300	FOXO3
PRKCD	YWHAG
YWHAG	YAP1
EP300	BRCA1
BRCA1	ATF1
STAT3	SMAD1
SMAD1	LEF1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
PRKCD	VHL
VHL	GLI1
HDAC1	GLI2
PRKCD	GSK3A
GSK3A	GLI3
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
INSR	IRF7
STAT3	IL1RAP
IL1RAP	MYD88
HSP90AA1	NFIC
EP300	ETS2
EP300	SMAD4
EP300	ESR1
GABRA3	SDCBP2
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	STAT1
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	IRF3
PIN1	JUN
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	FOS
SDCBP2	C1orf35
C1orf35	APP
ZCCHC10	TP53
TP53	ETS1
TIFA	TRAF6
TRAF6	HIF1A
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
TRAF6	STAT3
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	HDAC1
TP53	RELA
PRPF40A	TERF2IP
TERF2IP	EPAS1
IRAK1	CCT3
CCT3	PDX1
TP53	TFAP2A
UBE2I	RXRA
IRAK1	CUL1
CUL1	RXRG
PIN1	PPARG
TP53	SP1
TP53	CREB1
BEND7	C1QBP
C1QBP	CEBPA
PRPF40A	NONO
NONO	SPI1
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
SDCBP2	SEC23A
SEC23A	STUB1
STUB1	FOXO1
SEC23A	HSPA4
HSPA4	REL
PRPF40A	HTT
HTT	ETV4
UBE2I	PPARA
IRAK1	BTRC
BTRC	ATF4
TRAF6	AKT1
AKT1	FOXO3
PIN1	YAP1
PRPF40A	CSNK2A2
CSNK2A2	ATF1
TRIM27	PIAS4
PIAS4	LEF1
PRPF40A	UBQLN4
UBQLN4	DAZAP2
UBE2I	TCF7L2
ZNF581	SUV39H1
SUV39H1	CTNNB1
TRAF6	ITCH
ITCH	GLI1
TRAF6	KRAS
KRAS	GLI3
TRIM27	TEAD4
TEAD4	TEAD1
C1QBP	PHB2
PHB2	TEAD3
IRAK1	HSP90AA1
HSP90AA1	ARNTL
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	NPAS2
CSNK2B	CLOCK
TRAF6	IRF7
TRAF6	MYD88
TRAF6	SMURF1
SMURF1	NFIC
TP53	ETS2
ZCCHC10	SNIP1
SNIP1	SMAD4
TP53	ESR1
GABRA4	APP
APP	HDAC4
HDAC4	STAT1
APP	MAPK8
MAPK8	IRF3
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
APP	MCM7
MCM7	HIF1A
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	STAT3
APP	GSK3B
GSK3B	NFKB1
APP	HGS
HGS	MAP3K10
MAP3K10	NEUROD1
APP	APBB1
APBB1	HDAC1
APP	EEF1D
EEF1D	RELA
MCM7	EPAS1
MAPK8	CCT3
MYC	TFAP2A
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	RFX5
RFX5	PPARG
MAPK8	SP1
APP	KAT5
KAT5	CREB1
MAPK8	CEBPA
MAPK8	SPI1
MAPK8	TP53
APP	STUB1
MAPK8	REL
APP	HSPA8
HSPA8	HTT
AKAP13	PPARA
PSEN2	APH1A
APH1A	ATF4
MYC	FOXO3
APP	TAF6
TAF6	YAP1
ATF2	ATF1
HGS	DAZAP2
DAZAP2	LEF1
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
MYC	GLI1
HDAC1	GLI3
HGS	INSR
MCM7	TRIM27
KAT5	E2F1
APP	WDR5
WDR5	ARNTL
APP	CSNK1E
CSNK1E	CLOCK
PSEN2	TRAF6
APP	TIRAP
TIRAP	MYD88
ELAVL1	NFIC
APP	DDX54
DDX54	NR3C1
NR3C1	ETS2
APP	CSNK1D
CSNK1D	SMAD4
DDX54	ESR1
GABRB1	NOD1
NOD1	UBC
UBC	BRCA1
BRCA1	STAT1
NOD1	HSP90AA1
HSP90AA1	IRF3
NOD1	CASP9
CASP9	JUN
UBC	ABL1
ABL1	FOS
HSP90AA1	MYC
NOD1	RNF34
RNF34	TP53
NOD1	PSMA7
PSMA7	HIF1A
HSP90AA1	ARNT
HSP90AA1	STAT3
NOD1	COPS6
COPS6	NFKB1
TP53	HDAC1
NOD1	CFLAR
CFLAR	SMAD3
SMAD3	PAX6
HSP90AA1	EPAS1
UBC	GLC7
GLC7	PDX1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
UBC	SFPQ
SFPQ	PPARG
HSP90AA1	SP1
UBC	C1QBP
UBC	ARF1
ARF1	SPI1
UBC	CUL3
CUL3	ATF2
UBC	FHL2
FHL2	FOXO1
FHL2	REL
UBC	UBA2
UBA2	ETV4
UBC	BTRC
BTRC	FOXO3
ABL1	YAP1
UBC	DAZAP2
UBC	PSMA3
PSMA3	TCF7L2
CFLAR	ITCH
HSP90AA1	FBXW11
FBXW11	GLI3
TP53	NCOA1
NCOA1	TEAD1
UBC	TRIM27
UBC	E2F1
HSP90AA1	NPAS2
UBC	PPP1CB
PPP1CB	CLOCK
TP53	IRF7
UBC	HDAC6
HDAC6	MYD88
FHL2	SMAD4
HSP90AA1	ESR1
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	GNB2L1
GNB2L1	STAT1
TRAK2	GSK3B
GSK3B	EWSR1
EWSR1	IRF3
GSK3B	JUN
GSK3B	BCL3
BCL3	FOS
GSK3B	MYC
GSK3B	TP53
GNB2L1	HIF1A
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	PIAS2
PIAS2	ARNT
BCL3	STAT3
REL	HDAC1
GSK3B	SMAD3
GSK3B	RELA
SMAD3	EPAS1
PRKAB2	PRKDC
PRKDC	PDX1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	CTNNB1
CTNNB1	PPARG
PRKAB2	CRX
CRX	SP1
GSK3B	CREB1
PRKAB2	YY1AP1
YY1AP1	CEBPA
PRKAB2	GATA1
GATA1	SPI1
SMAD3	ATF2
SMAD3	FOXO1
TRAK2	PRKAG1
PRKAG1	FKBP4
FKBP4	SAE1
SAE1	ETV4
RELA	PPARA
RELA	ATF4
CTNNB1	FOXO3
PRKAG1	SIP2
SIP2	YAP1
TRAK2	OGT
OGT	CSNK2A1
CSNK2A1	ATF1
CTNNB1	LEF1
GSK3B	SMURF2
SMURF2	DAZAP2
CTNNB1	TCF7L2
TRAK2	GSK3A
YAP1	TEAD1
PRKAB2	GOLGA2
YAP1	TEAD3
RXRA	ARNTL
PRKAB2	CSNK2B
SMAD3	IRF7
GSK3B	MDM2
MDM2	MYD88
GSK3B	HSP90AA1
PIAS2	SMAD4
PIAS2	ESR1
GABRB3	MEOX2
MEOX2	CIAPIN1
CIAPIN1	STAT1
MEOX2	PIN1
MEOX2	RELA
RELA	JUN
RELA	FOS
MEOX2	KAT5
KAT5	MYC
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
RELA	CREBBP
GABRB3	PRKACA
PRKACA	HSP90AA1
RELA	STAT3
RELA	NFKB1
PRKACA	TCF3
TCF3	NEUROD1
PRKACA	HDAC1
MEOX2	SPP1
SPP1	EPAS1
GABRB3	AKAP5
AKAP5	Dlg4
Dlg4	PDX1
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
PRKCA	PPARG
RELA	SP1
PRKACA	CREB1
KAT5	CEBPA
HDAC1	SPI1
RELA	TP53
RELA	REL
MEOX2	TGFB1
TGFB1	SMAD2
SMAD2	ETV4
MEOX2	IKBKB
IKBKB	FOXO3
RELA	BRCA1
PRKCA	CTNNB1
PRKCA	ELAVL1
PRKACA	ITCH
PRKCA	GLI3
MEOX2	PRKAB2
MEOX2	TRAF6
RELA	SMAD4
RELA	ESR1
GABRG2	GABARAP
GABARAP	ATG7
ATG7	STAT1
GABARAP	TAX1BP1
TAX1BP1	IKBKE
IKBKE	IRF3
TAX1BP1	ITCH
ITCH	JUN
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	FOS
NEDD4	YY1
YY1	MYC
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
SMAD3	CREBBP
GABARAP	TBC1D15
TBC1D15	STAT3
TAX1BP1	TNIP1
TNIP1	NFKB1
SQSTM1	Dlg4
Dlg4	NKX2-2
GABARAP	KEAP1
KEAP1	RELA
GABARAP	ATG3
ATG3	EPL1
EPL1	PDX1
NEDD4	PPARG
PPARG	TFAP2A
NEDD4	SRC
SRC	RXRA
PPARG	RXRB
SMAD3	SP1
NEDD4	AKT1
AKT1	CREB1
SMAD3	CEBPA
GABARAP	DVL2
DVL2	CSNK2A1
CSNK2A1	SPI1
DVL2	TP53
ATG7	FOXO1
TAX1BP1	TBK1
TBK1	REL
NEDD4	SMAD2
ATG7	SIRT1
SIRT1	PPARA
NEDD4	BTRC
GABARAP	GBAS
GBAS	FOXO3
TAX1BP1	RAD18
RAD18	YAP1
GABARAP	ATG13
ATG13	HOF1
HOF1	ATF1
TAX1BP1	DAZAP2
DAZAP2	TCF7L2
GABARAP	RB1CC1
RB1CC1	SKI
SKI	GLI2
KEAP1	FBXW11
DVL2	WWTR1
WWTR1	TEAD1
IKBKE	TRIM27
WWTR1	TEAD3
TAX1BP1	TNFAIP3
TNFAIP3	IRF7
SQSTM1	MYD88
KEAP1	HSP90AA1
SMAD3	SMAD4
GABARAP	NCOA7
NCOA7	ESR1
GABRD	UBQLN1
UBQLN1	MTOR
MTOR	STAT1
UBQLN1	APP
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	C1QTNF2
C1QTNF2	ARNT
MTOR	STAT3
UBQLN1	HGS
UBQLN1	UBE3A
UBE3A	AR
AR	PAX6
UBQLN1	MAP1LC3A
MAP1LC3A	EPAS1
UBQLN1	PRE1
PRE1	PDX1
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	UBQLN4
UBQLN4	RXRA
UBE3A	RARA
RARA	RXRG
UBQLN1	ATXN3
ATXN3	CREB1
UBE3A	CEBPA
RAD23A	TP53
UBQLN1	UBC
UBQLN1	PSEN2
UBQLN1	UBQLN2
UBQLN2	YAP1
CREBBP	ATF1
UBQLN1	RAP1GDS1
RAP1GDS1	KRAS
UBE3A	ARNTL
ARNTL	NPAS2
CREBBP	ETS2
UBE3A	ESR1
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
GABRE	GPAA1
GPAA1	PIN1
GABRE	HLA-A
HLA-A	STAT3
ALG9	XBP1
XBP1	FOS
GABRE	CUX1
CUX1	BIN1
BIN1	MYC
CUX1	SATB1
SATB1	EP300
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
SATB1	PML
PML	ARNT
CUX1	TLE4
TLE4	HDAC1
ALG9	SBP1
SBP1	PDX1
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
CUX1	CCNA1
CCNA1	SP1
CUX1	RECQL5
RECQL5	CREB1
MYC	CEBPA
ALG9	DST1
DST1	SPI1
CUX1	EHMT2
EHMT2	TP53
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	ATF2
PML	FOXO1
MYC	TCF12
TCF12	NEUROG3
ZDHHC17	HTT
SATB1	UBE2I
GP1BB	YWHAZ
YWHAZ	FOXO3
FAM189B	YAP1
ALG9	GSH1
GSH1	ATF1
SATB1	CTNNB1
ZDHHC17	LASP1
LASP1	DAZAP2
PML	TCF7L2
FAM189B	ITCH
ZDHHC17	TEAD1
ZDHHC17	GOLGA2
GP1BB	TRAF4
