HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	CTNNB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	CEBPB
CBL	GRB2
GRB2	REL
CBL	HSPA4
HSPA4	NFKB1
GRB2	HSP90AA1
HSP90AA1	NFIC
SMAD3	JUN
CBL	HSPA8
HSPA8	POU2F1
GRB2	EP300
EP300	EGR1
CBL	BAG1
BAG1	RARA
CBL	ABL1
ABL1	CREB1
HTR2C	DLG4
DLG4	ERBB2
ERBB2	STAT3
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
ESR1	CEBPB
CALM1	HSPA4
HSPA4	REL
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	HSP90AA1
DLG4	MDM2
MDM2	JUN
DLG4	HGS
HGS	HSPA8
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
CALM1	AKT1
AKT1	RARA
AKT1	CREB1
SLC6A4	SNCA
SNCA	PTK2
PTK2	STAT3
SNCA	MAPK8
MAPK8	SP1
SNCA	MAPK1
MAPK1	CEBPB
MAPK8	REL
SNCA	HSPA4
SNCA	EEF1A1
EEF1A1	HSP90AA1
MAPK8	JUN
SNCA	HSPA8
SLC6A4	CALR
CALR	PFDN5
PFDN5	EGR1
SNCA	AKT1
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	GNB2
GNB2	STAT3
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
GNAI3	NUCB1
NUCB1	REL
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
YWHAQ	SMURF1
SMURF1	NFIC
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
YWHAQ	LMNB1
LMNB1	POU2F1
YWHAQ	PSMA3
PSMA3	EGR1
TRIP6	AJUBA
AJUBA	RARA
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
SLC6A2	SNCA
SLC6A2	STX1A
STX1A	PSMA3
SLC6A3	TGFB1I1
TGFB1I1	NR3C1
NR3C1	STAT3
TGFB1I1	SMAD3
SLC6A3	PICK1
PICK1	PARK2
PARK2	REL
NR3C1	NFKB1
SMAD3	SMURF1
NR3C1	POU2F1
SLC6A3	STX1A
SLC6A3	SNCA
NR3C1	CREB1
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	STAT3
AP2M1	SFPQ
SFPQ	SP1
EP300	CEBPB
EP300	REL
EP300	NFKB1
AP2M1	EEF1A1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	HSPA8
EP300	RARA
EP300	CREB1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
ADRA2A	UCHL1
UCHL1	CTNNB1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD3
GNAI2	NUCB1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	HSP90AA1
ITCH	JUN
UCHL1	HSPA8
UCHL1	TP53
TP53	EGR1
GNAI2	TRIP6
TP53	CREB1
CREB3	FOSB
MAPK3	IL12A
MAPK8	TNF
MAPK11	IL1A
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
STAT5A	EGFR
STAT1	IFNG
TFAP2A	ITGA2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
PPARG	MMP9
CREB1	NTS
