ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	EGR1
AP2M1	HSPA8
HSPA8	POU2F1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	BCR
BCR	TP53
EP300	ETS1
HSPA8	ERG
EP300	FOS
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	CSNK2B
CSNK2B	MYC
CSNK2B	BRCA1
BRCA1	FLI1
HSPA8	HTT
HTT	ETV4
HSPA8	RELA
SFPQ	PPARG
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
EEF1A1	GADD45G
GADD45G	PPARA
EP300	ETS2
EP300	CREB1
EEF1A1	FUS
FUS	SPI1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
RELA	NFKB1
RELA	EGR1
RELA	POU2F1
GOPC	TGFBR2
TGFBR2	HSP90AA1
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
DTNA	NMT1
NMT1	TP53
DTNA	ACTB
ACTB	EP300
ADRA1D	AMFR
AMFR	HSPA4
HSPA4	ERG
RELA	FOS
EP300	TFAP2A
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
GOPC	BECN1
BECN1	BRCA1
AMFR	HTT
RELA	PPARG
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	PPARA
AMFR	ATXN3
ATXN3	CREB1
CDC42	VAV1
VAV1	SPI1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	C1QBP
C1QBP	CEBPA
HSPA8	TP53
TP53	ETS1
ABL1	FOS
YWHAE	NPM1
NPM1	TFAP2A
HSP90AA1	MYC
HSP90AA1	BRCA1
YWHAE	XPO1
XPO1	PPARG
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
TP53	ETS2
ABL1	CREB1
KCNH2	CDC73
CDC73	DEP1
DEP1	SPI1
CREB3L2	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
EPAS1	TGFA
EPAS1	TGFB2
MAX	CKS2
MYC	CKS1B
NFKB2	TRAF4
RELA	CCND1
PPARA	ACSL1
PPARA	ACSL4
PPARG	ACSBG1
PPARG	GK
NFYC	LOC100507714
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
USF1	APOC3
USF2	APOC3
NFIC	CYP11A1
NFKB1	CYP11A1
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
POU2F1	IL4
POU2F2	IL4
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
JUN	MYC
MYB	MYC
MYBL2	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
