HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRDC3	ITCH
ITCH	JUN
ITCH	TP53
TP53	ETS1
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	CSNK2A1
CSNK2A1	ATF1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAPK1
MAPK1	SP1
MAPK1	ATF2
TRIM28	MYB
TP53	ETS2
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	MAPK3
MAPK3	ELK4
CSNK2A1	SRF
ARRB2	HNRNPM
HNRNPM	TOP1
TOP1	ELK3
ARRB2	CDK3
CDK3	PPARA
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	HNRNPD
HNRNPD	MYC
EP300	USF2
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
SOS1	CCND3
SOS2	SPRY3
STAT4	CCND3
STAT5B	CCND2
MAPK3	CCND1
RXRG	FABP1
IRF7	IFNA13
NFKB1	IL18
NFYA	HLA-DOB
RFXAP	HLA-DOA
RFXAP	HLA-DOB
NFATC4	PTGS2
NFIC	ADA
SP1	ADA
TFAP2A	ADRA1A
CEBPB	AFP
SP1	AGT
SP2	CCND1
SP3	CCND1
SP4	CCND1
SP3	CD83
SP1	EGFR
RARA	GADD45B
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
POU2F2	HLA-DRA
POU5F1	HMGB2
ETV4	HPGD
NFIC	HRAS
E2F4	HSP90B1
SP1	HSPA8
NFKB1	IER3
SPI1	IL1B
TFAP2A	ITGA2
HIF1A	ITGB2
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
CEBPE	MYB
EGR1	MYB
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
POU2F1	VWF
SMAD4	ZFP36
