ABCB1	PIM1
PIM1	PIN1
PIN1	SP1
PIM1	CDKN1A
CDKN1A	JUN
PIM1	MAX
MAX	HIF1A
CDKN1A	TP53
CYP3A4	HSPA8
HSPA8	ESR1
ESR1	SP1
HSPA8	RELA
RELA	JUN
CYP3A4	UBE2D1
UBE2D1	HIF1A
HSPA8	TP53
MLNR	GHRL
GHRL	TBXA2R
TBXA2R	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
TBXA2R	GNB2L1
GNB2L1	HIF1A
TBXA2R	YWHAZ
YWHAZ	TP53
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
HSP90AA1	HIF1A
KCNH2	HSPA8
CYP51A1	HRAS
HRAS	TP53
TP53	SP1
CYP51A1	ZNF420
ZNF420	UBE2I
UBE2I	JUN
TP53	HIF1A
ALB	APP
APP	MAPK8
MAPK8	SP1
MAPK8	JUN
ALB	ATM
ATM	HIF1A
ATM	TP53
EP300	PDK1
VDR	ATP2B1
PIK3CG	AKT2
NFYB	HLA-DRB5
NFYC	LOC100509457
USF1	APOC3
USF2	APOC3
MYC	CCNB1
SP1	EGFR
