CACNA1C	COPS5
COPS5	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	HIF1A
COPS5	NCOA1
NCOA1	ARNT
COPS5	TP53
CTNNB1	FOXO3
COPS5	CDK2
CDK2	E2F1
CACNA1S	SRI
SRI	TCF12
TCF12	CREBBP
SRI	STAT3
STAT3	EP300
STAT3	HIF1A
STAT3	PML
PML	ARNT
SRI	ANXA7
ANXA7	TP53
EP300	FOXO3
EP300	E2F1
CACNB1	APP
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	TP53
APP	MYC
MYC	FOXO3
APP	KAT5
KAT5	E2F1
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	XRCC6
XRCC6	CREBBP
CBX3	POLR2A
POLR2A	EP300
CBX3	FAF1
FAF1	HIF1A
CBX3	CBX5
CBX5	RB1
RB1	ARNT
XRCC6	TP53
CACNB4	PTN
PTN	CTNNB1
CBX3	TRIM28
TRIM28	E2F1
NR3C2	NR3C1
NR3C1	CREBBP
NR3C1	EP300
NR3C2	UBE2I
UBE2I	HIF1A
NR3C2	NCOA1
NR3C2	SUMO1
SUMO1	TP53
NR3C2	NRIP1
NRIP1	E2F1
AHR	EP300
EP300	CREBBP
EP300	HIF1A
AHR	ARNT
EP300	TP53
GLI2	WNT6
RBPJ	FCER2
CTNNB1	CCND3
ATF6B	PCNA
RELA	IL6
CREBBP	ENO2
CREBBP	PFKL
EP300	ENO2
EP300	PFKL
HIF1A	ENO2
NFKB1	FIGF
SP1	SPN
