SLC22A6	APP
APP	MYC
APP	MAPK8
MAPK8	TP53
MAPK8	STAT3
MAPK8	JUN
APP	SHC1
SHC1	SOS1
SHC1	SOS2
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	SYVN1
SYVN1	ATF6
APP	TAF6
TAF6	YAP1
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
APP	KAT5
KAT5	E2F1
E2F1	TEAD3
MAPK8	SP1
MYC	TFAP2A
SHC1	STAT5A
SHC1	STAT5B
APP	HDAC4
HDAC4	STAT1
APP	GSK3B
GSK3B	NFKB1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
APP	EEF1D
EEF1D	RELA
EEF1D	HCFC1
HCFC1	E2F4
APP	HSPA8
HSPA8	POU2F1
APP	DDX54
DDX54	ESR1
GSK3B	SMAD3
MCM7	HIF1A
KAT5	CREB1
KAT5	MYB
MAPK8	CEBPA
CEBPA	CEBPE
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
MAPK8	HSF1
APP	MAPK7
MAPK7	ETS1
KAT5	MAX
HCFC1	CREB3
ELAVL1	CREB3L2
APP	CUL3
CUL3	PGRMC1
PGRMC1	CREB3L1
ELAVL1	ARNT
MAPK7	FOS
DDX54	PGR
PSEN2	APH1A
APH1A	ATF4
APP	ELK1
APP	SNCA
SNCA	MAPK1
SNCA	MAPK3
GSK3B	CEBPB
APP	TIRAP
TIRAP	MYD88
PANX1	GNAS
GNAS	AXIN1
AXIN1	MYC
AXIN1	TP53
GNAS	HLA-A
HLA-A	STAT3
GNAS	C1QBP
C1QBP	PRKD1
PRKD1	JUN
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
GNAS	RUVBL1
RUVBL1	LEF1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
GNAS	NUCB1
NUCB1	GTF2I
GTF2I	ATF6
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
GNAS	GNB2
GNB2	STAT1
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	PAICS
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
GIPC1	OGT
OGT	RELA
C1QBP	CEBPA
CEBPA	E2F4
C1QBP	HSPA8
GIPC1	MMS19
MMS19	ESR1
RUVBL1	CREBBP
CREBBP	SMAD3
GIPC1	MCM7
CREBBP	CREB1
PAICS	CHD3
CHD3	MYB
PRKCD	EP300
NUCB1	CBS
CBS	HSF1
CREBBP	ETS1
CEBPA	MAX
SHMT2	CREB3
RUVBL1	ELAVL1
CEBPA	Fbxw7
Fbxw7	CREB3L1
CEBPA	FOS
C1QBP	DAP3
DAP3	PGR
SHMT2	ATF4
CREBBP	ELK1
C1QBP	PARK2
PARK2	MAPK1
C1QBP	NUP153
NUP153	MAPK3
CEBPA	CEBPB
SHMT2	HDAC6
HDAC6	MYD88
ATF6B	FOS
ATF4	FOS
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND3
ATF6B	IL8
RELA	IL6
CREBBP	ENO1
CREBBP	PFKL
EP300	ENO1
EP300	PFKL
HIF1A	ENO1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	PCK1
SOS1	SPRY3
SOS1	SPRY2
SOS1	SPRED1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5A	CCND1
STAT5B	MYC
STAT6	MYC
PAX6	GCK
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RXRA	ACADL
MAPK9	NOS2
RFX5	HLA-DQB1
RFX5	HLA-DRA
LEF1	JUN
LEF1	PPARD
LEF1	FOSL1
SP1	REL
SP1	CAV1
TP53	CAV1
SP3	CYP17A1
PPARA	CYP1A1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CREB1	GH2
NFIC	GH2
POU2F2	HLA-DRA
POU5F1	HMGB2
BCL3	MYB
POU2F2	MYC
ETS1	PRL
CEBPD	PTGS2
NFIC	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
