ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	STAT1
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
EP300	CREB1
AP2M1	PER1
PER1	GAS1
GAS1	ATF1
AP2M1	EEF1A1
EEF1A1	IKBKG
IKBKG	NFKB2
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
AP2M1	CSNK2B
CSNK2B	MAPK14
HSPA8	BAG3
BAG3	MAPK11
HSPA8	VCP
VCP	MAPK13
AP2M1	SFPQ
SFPQ	MAPK1
AP2M1	IQGAP1
IQGAP1	MAPK3
AP2M1	PRKDC
PRKDC	MAPK8
PRKDC	MAPK9
AP2M1	BCR
BCR	TP53
TP53	MAPK10
ADRA1D	GOPC
GOPC	KPNA1
KPNA1	STAT1
GOPC	RELA
RELA	NFKB1
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
CREBBP	ATF1
RELA	NFKB2
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
RELA	MAPK14
RELA	HDAC3
HDAC3	MAPK11
AMFR	VCP
VCP	MAPK1
VCP	MAPK3
DTNA	DMD
DMD	APP
APP	MAPK8
DTNA	NUP62
NUP62	CTNNB1
CTNNB1	MAPK9
AMFR	HAX1
HAX1	MAPK10
KCNH2	YWHAE
YWHAE	XPO1
XPO1	STAT1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	ABL1
ABL1	CREB1
KCNH2	CDC73
CDC73	VPH2
VPH2	ATF1
YWHAE	TBK1
TBK1	NFKB2
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
KCNH2	HSP90AA1
HSP90AA1	HIF1A
HSP90AA1	ARNT
YWHAE	MAPK14
MAPK14	MAPK1
MAPK14	MAPK3
YWHAE	CBL
CBL	MAPK8
YWHAE	MAP3K1
MAP3K1	MAPK9
YWHAE	CDKN1B
CDKN1B	MAPK10
CREB3L4	IL8
MAPK9	SMAD4
CREBBP	ENO3
CREBBP	PFKFB2
EP300	ENO3
EP300	PFKFB2
HIF1A	ENO3
HIF1A	PFKFB2
TEAD1	BIRC2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
RBPJL	HES1
TP53	RCHY1
TP53	PIDD
RXRB	ADIPOQ
MAPK1	IL8
CREBBP	CDKN2B
SMAD9	ID1
FOS	CCL4L2
IRF3	CXCL9
IRF5	IL12B
IRF7	IFNA5
STAT1	CXCL9
NFIC	JUN
RARB	JUN
