HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	HSPA4
HSPA4	NFKB1
CBL	SMAD3
SMAD3	JUN
CBL	HSPA8
HSPA8	POU2F1
GRB2	EP300
EP300	EGR1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	CALM1
CALM1	HSP90AA1
DRD2	FLNA
FLNA	REL
REL	NFKB1
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
CDKN2A	EGR1
DRD1	RANBP9
RANBP9	ESR1
ESR1	SP1
ESR1	SMURF1
SMURF1	NFIC
RANBP9	NR3C1
NR3C1	NFKB1
NR3C1	JUN
NR3C1	POU2F1
ESR1	EP300
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
GNA12	APP
APP	HSPA8
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
DRD3	EPB41L1
EPB41L1	COPS3
COPS3	HSP90AA1
EPB41L1	COPS5
COPS5	NFKB1
COPS5	JUN
GIPC1	OGT
OGT	RELA
RELA	POU2F1
RELA	EGR1
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
DRD4	GRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	XRCC6
XRCC6	POU2F1
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	SMURF1
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
YWHAQ	LMNB1
YWHAQ	PSMA3
PSMA3	EGR1
HTR1B	MDFI
MDFI	VHL
VHL	SP1
VHL	HSP90AA1
MDFI	KAT5
KAT5	EP300
MDFI	PIN1
PIN1	JUN
KAT5	BRCA1
BRCA1	POU2F1
HTR1D	HTR1B
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	SP1
HTR1E	ATP5B
ATP5B	HSP90AA1
PSMC4	PSMD10
PSMD10	NFKB1
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
PSMC4	PSMA3
HTR2C	CALM1
CALM1	ESR1
CALM1	DCUN1D1
DCUN1D1	NFKB1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
DLG4	HGS
HGS	HSPA8
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR6	CLTC
CLTC	EP300
EP300	SP1
HTR6	COPS5
COPS5	HSP90AA1
CLTC	XRCC6
HTR7	CUL3
CUL3	CTNNB1
CUL3	HSP90AA1
CUL3	NFKB1
CUL3	ATF2
ATF2	JUN
CUL3	XRCC5
XRCC5	POU2F1
CUL3	GRB2
ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
AP2M1	CLTC
AP2M1	AP1G1
AP1G1	JUN
AP2M1	HSPA8
ADRA2A	UCHL1
UCHL1	CTNNB1
UCHL1	HSP90AA1
UCHL1	COPS5
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	HSPA8
UCHL1	TP53
TP53	EGR1
ADRA2B	UCHL1
