HTR1B	MDFI
MDFI	PIN1
PIN1	RARA
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	RELA
KAT5	CEBPA
CEBPA	RARB
MDFI	ZBTB25
ZBTB25	TNIP1
TNIP1	RARG
PIN1	JUN
MDFI	VHL
VHL	HIF1A
MDFI	MYOD1
MYOD1	CREBBP
EP300	ARNT
EP300	FOS
KAT5	CREB1
KAT5	MYC
EP300	ETS1
VHL	EPAS1
EP300	EGR1
EP300	STAT1
MYOD1	STAT3
VHL	SP1
VHL	GLI1
KAT5	HDAC1
HDAC1	GLI2
HDAC1	GLI3
PIN1	PPARG
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
EP300	TFAP2A
KAT5	TP53
EP300	MAPK1
KAT5	BRCA1
BRCA1	MAPK3
KAT5	UBE2I
UBE2I	PPARA
MDFI	NAB2
NAB2	SPI1
EP300	MAPK14
KAT5	HDAC3
HDAC3	MAPK11
MDFI	PARP11
PARP11	MAPK12
MAPK12	MAPK13
KAT5	APP
APP	MAPK8
TP53	MAPK9
TP53	MAPK10
KAT5	ESR1
MDFI	CDCA7L
CDCA7L	VDR
MDFI	CREB5
CREB5	ATF2
EP300	ATF4
PIN1	SMAD2
SMAD2	ETV4
BRCA1	FLI1
KAT5	MDM2
MDM2	MYD88
HDAC3	CREB3
NAB2	XBP1
XBP1	ATF6B
VHL	ELAVL1
ELAVL1	CREB3L2
MDFI	PRKAB2
PRKAB2	CREB3L1
TP53	IRF7
BRCA1	NFYA
EP300	NFYB
VHL	CDK2
CDK2	NFYC
APP	RFX5
VHL	NCL
NCL	RFXAP
VHL	BSG
BSG	RFXANK
BRCA1	E2F4
EP300	STAT5A
KAT5	NR3C1
NR3C1	STAT5B
EP300	STAT2
VHL	TRIM28
TRIM28	STAT4
EP300	STAT6
VHL	HSP90AA1
HSP90AA1	NR3C2
HSP90AA1	NFIC
BRCA1	ATF1
EP300	USF2
EP300	CEBPB
VHL	HSPA8
HSPA8	ERG
EP300	SMAD4
NR1H2	FOXO3
NR3C1	POU2F2
EP300	FOXO1
PIN1	SMAD3
EP300	HNF1A
NAB2	YAP1
YAP1	TEAD1
PRKAB2	GOLGA2
GOLGA2	TEAD4
MDFI	PIDD1
PIDD1	TEAD3
APP	ELK1
RELA	IRF8
EP300	IRF1
BRCA1	ELK4
KAT5	SRF
NAB2	TOP1
TOP1	ELK3
KAT5	RUVBL1
RUVBL1	LEF1
