SLC22A6	APP
APP	KAT5
KAT5	E2F1
E2F1	SP4
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	STAT3
APP	MAPK7
MAPK7	ETS1
MAPK8	TP53
MAPK8	JUN
KAT5	CREB1
APP	TAF6
TAF6	YAP1
MAPK8	SP1
APP	HDAC4
HDAC4	STAT1
APP	MYC
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	ELK1
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
E2F1	TEAD3
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
MAPK8	PIAS2
PIAS2	STAT4
APP	GSK3B
GSK3B	NFKB1
SHC1	SOS1
SHC1	SOS2
RELA	SP3
MCM7	HIF1A
PANX1	GNAS
GNAS	C1QBP
C1QBP	HSPA8
HSPA8	POU2F1
POU2F1	SP4
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	HLA-A
HLA-A	STAT3
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	ETS1
GNAS	AXIN1
AXIN1	TP53
C1QBP	PRKD1
PRKD1	JUN
CREBBP	CREB1
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GNB2
GNB2	STAT1
AXIN1	MYC
RUVBL1	LEF1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	ELK1
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
GNAS	PAICS
PAICS	TKT
TKT	STAT4
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
CREBBP	SP3
GIPC1	MCM7
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
MYC	CCND1
LEF1	MYC
TCF7	BIRC5
EP300	CDKN1A
ARNT	ENO1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID4
YAP1	CCND1
YAP1	NKD1
WWTR1	FGF1
WWTR1	SERPINE1
SMAD1	ID4
SMAD4	ID2
TCF7	SOX2
TCF7	CCND2
TCF7L2	AXIN1
TCF7L2	CCND3
TEAD1	BIRC5
TEAD1	SOX2
TEAD4	AXIN2
TEAD3	CTGF
TEAD3	CCND1
TEAD3	AXIN2
TCF7L1	BIRC2
TCF7L1	AXIN2
TEAD2	GLI2
TEAD2	CCND1
RELA	CCL4L1
RBPJL	HES5
TP53	RPRM
NFYA	HLA-DRB3
MAPK13	IL18
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
NFATC4	PTGS2
LEF1	PPARD
LEF1	FOSL1
RELA	IL2
SP3	TNF
SPI1	TNF
ETS1	TNNC1
NFKB1	TNNC1
SMAD4	TNNC1
TFAP2A	TNPO1
ETV4	VIM
ETS1	VWF
NFIC	VWF
