ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
UBL4A	TXN
TXN	NFKB1
IGF1R	TP53
TP53	EGR1
UBL4A	HSP90AA1
HSP90AA1	NFIC
COL1A1	SPARC
SPARC	XRCC6
XRCC6	POU2F1
UBL4A	PRPF31
PRPF31	TFDP1
IGFBP3	FN1
FN1	RBL1
RBL1	E2F4
UBL4A	RAB1A
RAB1A	CREB1
TP53	ETS1
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
UBL4A	KPNA2
KPNA2	RELA
FN1	CSNK2A1
CSNK2A1	ATF1
CD44	STAT3
HSP90AA1	PPARA
UBL4A	C1QBP
C1QBP	CEBPA
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
ITGB1	TUBA1A
TUBA1A	MYC
ITGB1	PRKCA
PRKCA	PPARG
ATF6B	ARC
ATF4	ARC
EGR3	FASLG
NFKB1	TNF
CREBBP	FIGF
CREBBP	SERPINE1
EP300	FIGF
EP300	SERPINE1
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TFRC
ARNT	EGF
HNF1A	HNF4G
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	AKT1
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
SP1	CYP21A2
MYC	DDX18
CEBPB	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
CEBPB	PRL
CEBPB	PTGS2
