DDC	RELA
RELA	NFKB2
RELA	NFKB1
RELA	HDAC2
HDAC2	GLI1
RELA	HDAC1
HDAC1	GLI2
RELA	CREBBP
CREBBP	GLI3
RELA	EP300
EP300	TFAP2A
EP300	MYC
RELA	JUN
EP300	ETS1
RELA	USF2
RELA	RELB
RELA	BRCA1
BRCA1	FLI1
RELA	HSPA8
HSPA8	ERG
CREB3L4	PDYN
CREB3L2	PDYN
CREB3L3	FOS
NFKB1	BIRC3
RELA	BIRC8
RELA	XIAP
GLI1	WNT1
GLI1	WNT7A
GLI1	WNT8B
GLI2	GLI1
GLI2	BMP2
STAT5A	SOCS2
STAT5A	SOCS5
STAT5B	SOCS4
STAT6	CCND1
STAT6	CCND2
STAT6	CCND3
RBPJ	HES1
TP53	GTSE1
TP53	PMAIP1
TP53	BAI1
RXRG	FABP1
RXRG	ACSL1
IRF7	IFNA13
IRF7	IFNA16
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
ETS1	CSF2
NFIC	CYP17A1
TP53	ERBB2
BRCA1	ESR1
SP1	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
ATF4	PTGS2
RARB	PTGS2
TFAP2A	PTGS2
MYBL2	RBL1
CREB1	REN
RELA	S100A6
RELA	SAA2
SP1	SERPINB2
EPAS1	SERPINE1
NFIC	SFTPC
WT1	SOD1
