DRD1	RANBP9
RANBP9	ESR1
ESR1	HIF1A
ESR1	CREBBP
ESR1	EP300
EP300	ARNT
RANBP9	NR3C1
NR3C1	NFKB1
ESR1	RELA
ESR1	SP1
NR3C1	SMAD3
RANBP9	UBE2I
UBE2I	PPARA
NR3C1	JUN
ESR1	TP53
UBE2I	ETS1
UBE2I	RXRA
NR3C1	RXRB
RANBP9	THRB
THRB	RXRG
NR3C1	NFKB2
RANBP9	TP73
TP73	YAP1
NR3C1	PPARG
RANBP9	APP
APP	MYC
MYC	TFAP2A
NR3C1	CREB1
UBE2I	FOS
RANBP9	AR
AR	SMAD4
ESR1	SMURF1
SMURF1	NFIC
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	HIF1A
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	CREBBP
MAP3K5	EP300
HSP90AA1	ARNT
EP300	NFKB1
EP300	RELA
HSP90AA1	SP1
GNA13	PTK2B
PTK2B	TGFB1I1
TGFB1I1	SMAD3
HSP90AA1	PPARA
PTK2B	VAV1
VAV1	JUN
HSP90AA1	TP53
EP300	ETS1
PTK2B	SRC
SRC	RXRA
GNA13	PRKAR2A
PRKAR2A	AKAP13
AKAP13	RXRB
PPARA	RXRG
MAP3K5	TNFAIP3
TNFAIP3	NFKB2
MAP3K5	USP9X
USP9X	YAP1
EP300	PPARG
EP300	TFAP2A
EP300	CREB1
EP300	FOS
EP300	SMAD4
HSP90AA1	NFIC
GNA12	APP
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD2	FLNA
FLNA	REL
REL	CREBBP
REL	EP300
DRD2	CALM1
CALM1	HSP90AA1
REL	NFKB1
REL	RELA
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	PAWR
PAWR	AATF
AATF	SMAD3
FLNA	RBM39
RBM39	JUN
FLNA	RANBP2
RANBP2	TP53
FLNA	LMNA
LMNA	PML
PML	RXRA
RANBP2	AKAP13
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
REL	NFKB2
PPP1R9B	PPP1CA
PPP1CA	YAP1
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
LMNA	RB1
RB1	TFAP2A
PPP1CA	CREB1
PML	FOS
COPS5	SMAD4
EPB41L1	APP
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
UCHL1	HSP90AA1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
CTNNB1	SP1
GNAI2	ITCH
ITCH	SMAD3
UCHL1	UBE2I
ITCH	JUN
UCHL1	TP53
GNAI2	MDFI
MDFI	NR1H2
NR1H2	RXRB
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
GNAI2	NUCB1
NUCB1	REL
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	PPARG
NPM1	TFAP2A
TP53	CREB1
UCHL1	CDK4
CDK4	MYC
HTR2A	CBL
CBL	CTNNB1
CBL	GRB2
GRB2	EP300
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	SMAD3
GRB2	HSP90AA1
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
CBL	SRC
PPARG	RXRB
PPARG	RXRG
GRB2	TSG101
TSG101	NFKB2
SMAD3	YAP1
CBL	ABL1
ABL1	CREB1
SMAD3	FOS
SMAD3	SMAD4
CBL	MAPK8
MAPK8	MYC
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
HIF1A	PGK1
ARNT	ENO2
ARNT	PDK1
ARNT	PFKFB2
STAT5A	CCND1
STAT6	MYC
CREB3L2	MITF
TCF7L1	MITF
VDR	ATP2B1
RELA	TRAF2
PIK3CB	AKT1
PIK3CG	AKT3
PIK3R3	AKT3
RBPJ	HES5
TP53	RRM2B
TP53	SERPINB5
TP53	BAX
STAT3	VEGFB
MYC	VEGFB
NFKB2	CCND1
FOXO3	BCL2L11
PPARA	SLC27A4
PPARA	SCD5
PPARG	SLC27A4
RXRA	SLC27A4
RXRB	PLTP
RXRG	FABP4
IRF7	IFNA10
NFYC	LOC100509457
NFYC	LOC101060835
MAPK10	TNF
MAPK13	IL1A
RFX5	HLA-DQB1
RFX5	HLA-DRA
TCF7	JUN
EGR1	ABCB1
EGR2	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
ESR1	APOE
ETS1	CSF2
RELA	F3
CEBPB	F8
NFKB1	F8
AR	F9
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
RELA	IL2
CEBPB	IL6
TFAP2A	ITGA2
HIF1A	ITGB2
