HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	ELK1
ARRB2	AKT1
AKT1	CREB1
ARRB2	CSNK2A1
CSNK2A1	ATF1
ARRB2	NPM1
NPM1	TFAP2A
ARRDC3	NEDD4
NEDD4	SMAD2
SMAD2	ETV4
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAPK3
ARRDC3	ARRB1
ARRB1	MAPK14
NEDD4	MAPKAPK3
MAPKAPK3	MAPK11
ARRB2	VCP
VCP	MAPK13
ARRB2	MAP2K4
MAP2K4	MAPK8
ARRB2	MAPK9
MAP2K4	MAPK10
NFKB1	BIRC3
RELA	BIRC3
ELK1	BIRC3
TP53	TP53I3
MAPK14	IL18
NFKB1	IL18
MAPK1	IL18
MAPK3	IL18
MAPK8	IL18
MAPK11	IL18
MAPK9	IL18
MAPK10	IL18
MAPK13	IL18
RELA	IL18
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
TP53	NME1
