ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
FN1	TRIB3
TRIB3	ATF4
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
FN1	RBL1
RBL1	E2F4
COL1A1	P4HB
P4HB	PSMD9
PSMD9	BRCA1
UBL4A	NCL
NCL	SP1
ITGB1	GNB2L1
GNB2L1	HIF1A
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	TXN
TXN	NFKB1
CD44	STAT3
UBL4A	KPNA2
KPNA2	RELA
EP300	USF2
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	BIRC2
RELA	IL6
RELA	MMP9
CREBBP	PFKL
CREBBP	PGF
EP300	PFKL
EP300	PGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
NFYA	HLA-DQA2
MAPK13	IL12A
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
PPARG	MMP9
POU2F1	VWF
SMAD4	ZFP36
