HTR2A	CBL
CBL	SMAD3
SMAD3	FOS
SMAD3	JUND
SMAD3	JUN
CBL	CTNNB1
CTNNB1	ESR1
CTNNB1	SP1
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
CBL	ABL1
ABL1	CREB1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	FOS
KCNH2	HSP90AA1
HSP90AA1	MDM2
MDM2	JUND
ABL1	JUN
KCNH2	HSPA8
HSPA8	ESR1
HSP90AA1	SP1
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
CREB3	PCNA
ATF6B	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	VEGFB
EP300	ENO1
EP300	VEGFB
HIF1A	ENO1
MYD88	IFNA13
FOS	PLAUR
SP3	CYP17A1
PPARA	CYP1A1
TFAP2A	GH2
USF1	GH2
JUN	IVL
JUNB	IVL
