NISCH	IRS1
IRS1	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
IRS1	SOCS3
SOCS3	NFKB1
IRS1	ESR1
ESR1	RELA
IRS1	SIRT1
SIRT1	JUN
IRS1	APP
APP	MAPK8
MAPK8	ELK4
APP	KAT5
KAT5	SRF
ESR1	TOP1
TOP1	ELK3
ESR1	CREBBP
GRB2	EP300
IRS1	AKT1
AKT1	CREB1
ESR1	STAT3
IRS1	PTK2
PTK2	STAT1
ESR1	SP1
GRB2	RUVBL1
RUVBL1	LEF1
IRS1	UBC
UBC	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
AKT1	CTNNB1
CTNNB1	TCF7L1
GRB2	HTT
HTT	ETV4
ESR1	HIF1A
EP300	ARNT
ESR1	PGR
APP	ELK1
IRS1	IGF1R
IGF1R	TP53
APP	TAF6
TAF6	YAP1
APP	MAPK7
MAPK7	ETS1
IRS1	PIK3CA
PIK3CA	SMAD3
SIRT1	FOS
IRS1	INSR
INSR	STAT5A
INSR	STAT5B
INSR	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
GRB2	SOS1
GRB2	SOS2
EP300	STAT2
AKT1	PIAS2
PIAS2	STAT4
IRS1	JAK3
JAK3	STAT6
ELK1	FLI1
MAPK8	ATF2
UBC	ATF6
APP	MYC
MYC	TFAP2A
APP	HSPA8
HSPA8	POU2F1
GRB2	TSG101
TSG101	NFKB2
AKT1	RARA
EP300	ATF4
SIRT1	PPARA
APP	RFX5
RFX5	PPARG
ESR1	HDAC3
HDAC3	CREB3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
IRS1	HDAC2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
ESR1	SP3
MAPK8	CEBPA
HDAC2	HSF1
GRB2	ENO1
ENO1	E2F4
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
APP	CSNK1D
CSNK1D	SMAD4
HDAC2	PPARD
ESR1	SMAD2
NCOR2	RARB
ESR1	NCOA3
NCOA3	RARG
SIRT1	EPAS1
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
CREB3L4	PDYN
CREB3L2	PDYN
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	PTCH1
GLI3	BMP2
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
SMAD3	MYC
NFATC4	TNF
MAPK10	SMAD4
CREBBP	HK1
CREBBP	NOS2
CREBBP	PFKFB4
EP300	HK1
EP300	NOS2
EP300	PFKFB4
HIF1A	HK1
HIF1A	NOS2
ARNT	CDKN1A
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
SOS1	SPRY3
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT4	SOCS2
STAT5A	SOCS7
STAT5B	SOCS1
STAT6	SOCS4
MITF	TYRP1
CREB3L1	MITF
NFKB2	CXCL12
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PIK3R2	AKT1
PLCG2	EGFR
RBPJ	HES1
TP53	GTSE1
TP53	PMAIP1
TP53	BAI1
EPAS1	TGFA
FOS	FIGF
MAX	CKS2
NFKB2	TRAF4
ATF4	MCL1
PPARA	ACSL1
PPARD	FABP3
PPARG	ACSBG1
RXRA	CYP8B1
RXRA	UBC
RXRB	GK2
RXRG	EHHADH
IRF7	IFNA8
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
MAPK1	IL1A
MAPK13	IL1B
MAPK13	IL6
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
PDX1	INS
CREB3	AQP2
CREB1	AQP2
SP1	REL
TFAP2A	ADRA1A
CREB1	ADRB2
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
USF1	APEX1
EGR1	APOA1
NFKB1	B2M
NFIC	C4BPB
TFAP2A	CALB2
ATF1	CALCA
CREB1	CALCA
TP53	CAV1
RARB	CRABP2
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
NFIC	CYP17A1
MYC	EIF4E
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
JUN	F3
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
ETV4	HPGD
NFIC	HRAS
E2F4	HSP90B1
TFAP2A	HSPA1A
SP1	HSPA8
RELA	ICAM1
SPI1	ICAM1
MYC	ID2
ATF1	ID2
PPARG	MMP9
TFAP2A	MYB
POU2F2	MYC
ATF1	PLAUR
E2F4	POLA
MYB	POLA
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
ATF4	PTGS2
RARB	PTGS2
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
JUN	TFPI2
NFKB1	TFPI2
ELK1	TNF
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
ETS1	VWF
NFIC	VWF
