SCN5A	NEDD4
NEDD4	IGF1R
IGF1R	TP53
NEDD4	AKT1
AKT1	CREB1
NEDD4	SMAD3
SMAD3	FOS
SMAD3	JUN
SMAD3	SP1
NEDD4	PPARG
PPARG	TFAP2A
SMAD3	CEBPA
KCNK1	TCIRG1
TCIRG1	TERF1
TERF1	EP300
EP300	TP53
EP300	CREB1
EP300	FOS
EP300	JUN
EP300	SP1
EP300	TFAP2A
EP300	ATF2
ATF2	CEBPA
KCNH2	HSPA8
HSPA8	TP53
KCNH2	YWHAE
YWHAE	ABL1
ABL1	CREB1
ABL1	FOS
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	C1QBP
C1QBP	CEBPA
PIK3R5	AKT1
PIK3CD	PDPK1
RXRB	MMP1
MYC	EIF4E
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
NFKB1	ICAM1
RARB	JUN
