HTR2A	CBL
CBL	MAPK14
MAPK14	HOXA5
CBL	SMAD3
SMAD3	RBL1
RBL1	TFDP2
CBL	ABL1
ABL1	CREB1
CBL	YWHAQ
YWHAQ	E2F1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	CTNNB1
CTNNB1	PPARG
CBL	YWHAZ
YWHAZ	TP53
CTNNB1	HIF1A
CTNNB1	CREBBP
CREBBP	CREM
KCNH2	YWHAE
YWHAE	MAPK14
YWHAE	YWHAQ
E2F1	TFDP2
YWHAE	ABL1
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	XPO1
XPO1	PPARG
KCNH2	HSPA8
HSPA8	TP53
KCNH2	HSP90AA1
HSP90AA1	HIF1A
KCNH2	STUB1
STUB1	ATXN1
ATXN1	CREM
GLI2	WNT6
GLI3	GLI1
EP300	FIGF
EP300	GAPDH
HNF1A	HNF4G
MYC	VEGFC
RXRB	PCK1
MAPK11	IL23A
POU2F2	IL5
SP1	JUN
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
SP1	SPN
ESR1	TFF1
