NISCH	IRS1
IRS1	ESR1
ESR1	SP1
ESR1	HIF1A
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
EP300	ARNT
ESR1	SP3
IRS1	PIK3CA
PIK3CA	SMAD3
IRS1	APP
APP	CSNK1D
CSNK1D	SMAD4
EP300	EGR1
ESR1	SMAD2
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
APP	MYC
MYC	TFAP2A
IRS1	HDAC2
HDAC2	GLI1
ESR1	HDAC1
HDAC1	GLI2
CREBBP	GLI3
MYC	RUNX1
HDAC2	RUNX1T1
IRS1	SIRT1
SIRT1	EPAS1
SIRT1	PPARA
APP	TAF6
TAF6	YAP1
APP	MAPK8
MAPK8	ATF2
IRS1	IGF1R
IGF1R	TP53
APP	HSPA8
HSPA8	POU2F1
APP	RFX5
RFX5	PPARG
EP300	USF2
GRB2	HSP90AA1
HSP90AA1	NFIC
RUNX1	JUP
RUNX1T1	JUP
CREB3L1	FOS
NFKB1	XIAP
NFKB1	BCL2
RELA	BIRC7
GLI1	WNT2
GLI1	WNT3
GLI1	WNT2B
GLI2	WNT16
GLI2	WNT4
ELK1	BIRC2
ATF2	PCNA
NFATC4	TNF
RELA	MMP9
CREBBP	EDN1
CREBBP	NOS2
CREBBP	PGF
EP300	EDN1
EP300	NOS2
EP300	PGF
HIF1A	EDN1
HIF1A	NOS2
HIF1A	PGK1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
NFKB2	CXCL12
RELA	GADD45B
PIK3CB	AKT2
ETS1	CDK4
ETS1	FIGF
ETS1	MMP2
MYC	MMP1
NFKB2	BIRC3
RELA	TRAF4
IRF8	IL12B
IRF1	IL12B
CREB1	MCL1
CREB3L1	BCL2
PPARA	ACAA1
PPARA	APOA2
PPARA	APOC3
PPARA	ME1
PPARD	ACOX2
PPARG	LPL
PPARG	PCK1
PPARG	ANGPTL4
PPARG	SCD
RXRA	ACSL4
NFYA	CD74
MAPK3	IL12A
MAPK3	IL12B
MAPK3	IL18
MAPK8	IL1A
MAPK8	IL1B
MAPK10	IL6
RFXANK	HLA-DMB
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
TCF7	JUN
USF2	APOC3
ESR1	APOE
E2F4	CDC6
ATF2	CDKN1A
FLI1	CDKN1A
USF1	CEACAM1
SP1	COL1A1
SP1	COX4I1
RARA	CRABP2
TFAP2A	IL6
USF1	IL6
RELA	MYC
SP1	MYC
JUN	NFKB2
SP1	NFKB2
MYC	PTMA
EGR1	RELA
PPARD	RELA
RARB	S100A8
SPI1	SCARB1
SPI1	SCARB2
PPARA	SERPINE1
ETS1	SLC26A3
CREB1	SLC9A1
