TUBB1	SNCA
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	MAPK1
MAPK1	HIF1A
EP300	ARNT
AKT1	CREB1
SNCA	PTK2
PTK2	MMM1
MMM1	ATF1
MAPK1	RXRA
SNCA	APP
APP	AKAP13
AKAP13	RXRB
SNCA	MAPK8
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	JUN
APP	MAPK7
MAPK7	ETS1
MAPK1	PPARG
AKAP13	PPARA
SNCA	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARD
SNCA	HSPA4
HSPA4	NFKB1
SNCA	HSPA8
HSPA8	RELA
MAPK8	ATF2
EEF1A1	IKBKG
IKBKG	NFKB2
BCL2	BRCA1
BRCA1	CREBBP
BRCA1	EP300
BCL2	HIF1A
BRCA1	ARNT
BRCA1	CREB1
BRCA1	ATF1
BCL2	SMN1
SMN1	RXRA
BCL2	TP53
TP53	NR3C1
NR3C1	RXRB
BCL2	NR4A1
BRCA1	JUN
BRCA1	ETS1
BCL2	PIN1
PIN1	PPARG
BCL2	HSP90AA1
HSP90AA1	PPARA
HSP90AA1	PPARD
BCL2	CHUK
CHUK	NFKB1
BRCA1	RELA
EP300	ATF2
CHUK	NFKB2
MAP2	APP
APP	CDC20
CDC20	CREBBP
MAP2	ACTB
ACTB	EP300
APP	MCM7
MCM7	HIF1A
MAP2	PSMC5
PSMC5	SP1
SP1	ARNT
APP	KAT5
KAT5	CREB1
MAP2	RPL23A
RPL23A	SSB2
SSB2	ATF1
APP	GSK3B
GSK3B	RXRA
MAP2	NEDD4
NEDD4	PPARG
PPARG	RXRG
APP	MAPK8
MAP2	FYN
FYN	CTNNB1
CTNNB1	PPARD
GSK3B	NFKB1
MAP2	DHX9
DHX9	RELA
SP1	NFKB2
MAP4	SERBP1
SERBP1	DAXX
DAXX	CREBBP
SERBP1	TP53
TP53	EP300
TP53	HIF1A
MAP4	LSM3
LSM3	LSM1
LSM1	HSP90AA1
HSP90AA1	ARNT
DAXX	CREB1
LSM1	GAS1
GAS1	ATF1
LSM3	MED1
MED1	RXRA
MED1	NR3C1
LSM3	YBX1
YBX1	CUL1
CUL1	RXRG
SERBP1	PIAS1
PIAS1	JUN
DAXX	ETS1
MED1	PPARG
SERBP1	RPS3
RPS3	NFKB1
LSM3	SNRPD3
SNRPD3	RELA
LSM3	ETR1
ETR1	ATF2
MAP4	FLNB
FLNB	VCP
VCP	NFKB2
MAPT	YWHAZ
YWHAZ	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
MAPT	SQSTM1
SQSTM1	HIF1A
MAPT	YWHAQ
YWHAQ	NCOA1
NCOA1	ARNT
MAPT	ABL1
ABL1	CREB1
ABL1	BRCA1
MAPT	GSK3B
MAPT	BAG1
BAG1	NR3C1
YWHAZ	AJUBA
AJUBA	RXRG
ABL1	JUN
YWHAZ	TP53
TP53	ETS1
CTNNB1	PPARG
MAPT	SIRT1
SIRT1	PPARA
MAPT	HSPA8
YWHAZ	HDAC4
HDAC4	ATF2
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
NR1I2	NCOA3
NCOA3	CREBBP
NR1I2	RXRA
RXRA	EP300
EP300	HIF1A
NR1I2	NCOA1
NR1I2	NCOR1
NCOR1	CREB1
NCOA3	BRCA1
NR1I2	RXRB
NR1I2	RXRG
NR1I2	NCOR2
NCOR2	JUN
NCOA3	ETS1
RXRA	PPARG
RXRA	PPARA
NCOR2	PPARD
NCOA3	NFKB1
NCOR2	RELA
RXRA	SP1
CREB3	FOSB
CREB1	FOSB
NFAT5	TNF
NFKB1	TNF
MAPK9	SMAD4
CREB5	IL8
CREBBP	SERPINE1
CREBBP	PFKFB2
CREBBP	VEGFC
EP300	SERPINE1
EP300	PFKFB2
EP300	VEGFC
HIF1A	SERPINE1
HIF1A	PFKFB2
STAT4	SOCS5
STAT5A	SOCS1
STAT5B	SOCS3
STAT6	PIM1
NFKB1	CCL4L2
NFKB1	PTGS2
RELB	CCL13
PIK3R1	AKT3
TP53	SESN1
TP53	SERPINE1
ETS1	VEGFA
FOS	VEGFB
AR	KLK3
NFKB1	NOS2
FOXO3	G6PC
CREB3L1	MCL1
PPARA	ACOX2
PPARD	UCP1
RXRA	CPT1C
RXRA	ACSL3
CEBPB	IGF2
EGR1	IGF2
SP3	IGFBP3
CEBPB	IL1A
CEBPD	IL6
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
CREB1	NTS
MYC	ODC1
