GABRA1	PRKCD
PRKCD	SP1
PRKCD	STAT1
STAT1	HSF1
PRKCD	EP300
EP300	CREBBP
PRKCD	STAT3
STAT3	HIF1A
EP300	ARNT
EP300	CREB1
STAT3	JUN
EP300	TFAP2A
EP300	ETS1
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	FOS
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
SDCBP2	ZNF581
ZNF581	GOPC
GOPC	HSF1
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
TP53	CREB1
ZCCHC10	PIN1
PIN1	JUN
TP53	TFAP2A
TP53	ETS1
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
UBE2I	FOS
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
HSP90AA1	HSF1
NOD1	RNF34
RNF34	TP53
NOD1	PSMA7
PSMA7	HIF1A
HSP90AA1	ARNT
NOD1	CASP9
CASP9	JUN
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
NOD1	UBC
UBC	CUL1
UBC	ABL1
ABL1	FOS
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	PLK1
PLK1	HSF1
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
TRAK2	GSK3B
GSK3B	CREB1
GSK3B	JUN
GSK3B	TP53
GSK3B	RXRA
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	BCL3
BCL3	FOS
GABRB3	MEOX2
MEOX2	RELA
RELA	SP1
GABRB3	PRKACA
PRKACA	HDAC1
HDAC1	HSF1
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
PRKACA	HSP90AA1
PRKACA	CREB1
RELA	JUN
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
RELA	FOS
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
GABARAP	FKBP4
FKBP4	HSF1
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
NEDD4	AKT1
AKT1	CREB1
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
NEDD4	PPARG
PPARG	TFAP2A
NEDD4	SRC
SRC	RXRA
PPARG	RXRB
SMAD3	FOS
GABRD	UBQLN1
UBQLN1	APP
APP	MAPK8
MAPK8	SP1
UBQLN1	UBE3A
UBE3A	HSF1
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	EPS15
EPS15	TFAP2A
APP	MAPK7
MAPK7	ETS1
UBQLN1	UBQLN4
UBQLN4	RXRA
UBE3A	RARA
RARA	RXRG
MAPK7	FOS
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
GABRE	ALG9
ALG9	SGF29
SGF29	HSF1
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
SATB1	PML
PML	ARNT
CUX1	RECQL5
RECQL5	CREB1
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
ALG9	XBP1
XBP1	FOS
GABRR1	BCR
BCR	RB1
RB1	SP1
BCR	HSPA4
HSPA4	HSF1
BCR	TP53
BCR	GRB2
GRB2	EP300
TP53	HIF1A
RB1	ARNT
BCR	ABL1
ABL1	CREB1
RB1	JUN
RB1	TFAP2A
GABRR1	DNM1L
DNM1L	GSK3B
RB1	PPARG
TSPO	ATP5F1
ATP5F1	HNRNPA1
HNRNPA1	SFPQ
SFPQ	SP1
HNRNPA1	HSPB1
HSPB1	HSF1
HNRNPA1	XRCC6
