MAOB	NFYB
NFYB	SP1
NFYB	EP300
EP300	EGR1
EP300	NFKB1
EP300	JUN
EP300	RELA
AOC3	PRRG4
PRRG4	RBBP8
RBBP8	BRCA1
BRCA1	SP1
PRRG4	YAP1
YAP1	EP300
BRCA1	JUN
RBBP8	BARD1
BARD1	RELA
ABAT	RAD23B
RAD23B	BRCA1
ABAT	ENO1
ENO1	NAB1
NAB1	EGR1
RAD23B	STAT6
STAT6	NFKB1
BRCA1	RELA
GPT	CFL1
CFL1	PIN1
PIN1	SP1
CFL1	UFD1L
UFD1L	TP53
TP53	EGR1
CFL1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
PIN1	JUN
PIN1	RELA
GPT2	APP
APP	MAPK8
MAPK8	SP1
GPT2	RAD51
RAD51	TP53
APP	GSK3B
GSK3B	NFKB1
MAPK8	JUN
APP	EEF1D
EEF1D	RELA
RFX5	HLA-DMA
RFX5	HLA-DMB
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
