ACHE	COL1A1
COL1A1	UBL4A
UBL4A	KPNA2
KPNA2	RELA
UBL4A	TXN
TXN	NFKB1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	UBC
UBC	ATF6
FN1	PRMT1
PRMT1	RUNX1
UBL4A	KPNB1
KPNB1	RUNX1T1
UBL4A	NCL
NCL	SP1
FN1	RARA
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	PIN1
PIN1	RELA
KRT31	HDAC4
HDAC4	NFKB1
KRT31	TSG101
TSG101	UBC
KRT31	UXT
UXT	RUNX1
RUNX1	RUNX1T1
HDAC4	SP1
PIN1	RARA
PIN1	JUN
CHRNG	ACTL6B
ACTL6B	CTBP1
CTBP1	CREBBP
TSG101	EP300
HDAC4	HIF1A
EP300	ARNT
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Traf6
Traf6	ECSIT
ECSIT	RELA
ECSIT	NFKB1
Rac1	Pak
Pak	OS9
OS9	SYVN1
SYVN1	ATF6
Traf6	1-Dec
1-Dec	HDAC1
HDAC1	RUNX1
1-Dec	HDAC2
HDAC2	RUNX1T1
Rac1	Mapk1
Mapk1	TP53
TP53	SP1
Traf6	Nr0b2
Nr0b2	RARA
Mapk1	HIF1A
HIF1A	JUN
Rac1	dsh
dsh	MED25
MED25	CREBBP
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	EP300
HIF1A	ARNT
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	PRMT5
PRMT5	RELA
YWHAZ	COPS5
COPS5	NFKB1
YWHAZ	UBC
YWHAH	CBL
CBL	SMAD3
SMAD3	RUNX1
YWHAH	IRS1
IRS1	HDAC2
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAZ	AJUBA
AJUBA	RARA
YWHAH	ABL1
ABL1	JUN
YWHAH	ING1
ING1	CREBBP
YWHAH	PAK2
PAK2	EP300
CTNNB1	HIF1A
YWHAH	SNRPE
SNRPE	HSP90AA1
CHRNA7	FYN
FYN	NR3C1
NR3C1	RELA
FYN	BCL3
BCL3	NFKB1
NR3C1	CREB1
CREB1	ATF6
FYN	SUV39H1
SUV39H1	RUNX1
BCL3	HDAC3
HDAC3	RUNX1T1
FYN	CTNNB1
BCL3	EP300
EP300	RARA
BCL3	JUN
CTNNB1	CREBBP
FYN	HSP90AA1
CHRNA9	CHEK1
CHEK1	RELA
CHRNA9	KIF5B
KIF5B	COPS5
CHRNA9	HMGCR
HMGCR	UBC
CHEK1	DNMT1
DNMT1	RUNX1
DNMT1	RUNX1T1
CHRNA9	POM121
POM121	BRCA1
BRCA1	SP1
CHEK1	AKT1
AKT1	RARA
BRCA1	JUN
CHRNA9	EIF2AK3
EIF2AK3	NFE2L2
NFE2L2	CREBBP
EIF2AK3	HSPA5
HSPA5	EP300
BRCA1	HIF1A
BRCA1	ARNT
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
STAT3	RELA
STAT3	NFKB1
SRC	ARRB2
ARRB2	UBC
SRC	HDAC3
HDAC3	RUNX1
STAT3	SP1
SRC	CREBBP
CREBBP	RARA
STAT3	JUN
TYRO3	PIK3R1
PIK3R1	EP300
STAT3	HIF1A
CHRNB4	Ubqln1
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREBBP	LTBR
EP300	LTBR
HIF1A	LTBR
ARNT	LTBR
NFKB1	CEBPB
RELA	CEBPB
RELA	HDAC2
SP1	MAT2B
RARA	MIF
JUN	PDHA1
SP1	PDHA1
JUN	SERPINB2
SP1	SERPINB2
ATF6	XBP1
