HTR2A	CBL
CBL	SMAD3
SMAD3	E2F4
CBL	YWHAQ
YWHAQ	E2F1
CBL	GRB2
GRB2	BCAR1
BCAR1	E2F2
CBL	CTNNB1
CTNNB1	HDAC1
HDAC1	E2F3
CBL	ABL1
ABL1	CREB1
CBL	HSPA8
HSPA8	RELA
CTNNB1	SP1
CBL	YWHAZ
YWHAZ	TP53
SMAD3	ATF2
SMAD3	JUN
GRB2	EP300
EP300	TFAP2A
SMAD3	CEBPA
DRD2	CALM1
CALM1	AR
AR	E2F4
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	E2F1
DRD2	PAWR
PAWR	SHMT2
SHMT2	E2F2
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	E2F3
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	REL
REL	RELA
CDKN2A	SP1
FLNA	RANBP2
RANBP2	TP53
LMNA	PML
PML	ATF2
FLNA	RBM39
RBM39	JUN
RB1	TFAP2A
LMNA	KAT5
KAT5	CEBPA
DRD3	RDX
RDX	ENO1
ENO1	E2F4
DRD3	USP48
USP48	UBC
UBC	E2F1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	E2F2
MCM7	FHL2
FHL2	CREB1
GIPC1	OGT
OGT	RELA
RB1	SP1
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	TP53
RB1	ATF2
COPS5	JUN
GIPC1	SH3BP4
SH3BP4	TFAP2A
MCM7	UBE3A
UBE3A	CEBPA
DRD4	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
DRD4	GRB2
TRIM28	E2F3
ARRB2	AKT1
AKT1	CREB1
DRD4	STUB1
STUB1	RELA
ARRB2	MAPK1
MAPK1	SP1
STUB1	TP53
MAPK1	ATF2
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	C1QBP
C1QBP	CEBPA
ADRA1B	AP2M1
AP2M1	BCR
BCR	RB1
RB1	E2F4
AP2M1	UBC
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
AP2M1	HSPA8
AP2M1	SFPQ
SFPQ	SP1
BCR	TP53
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EPS15
EPS15	TFAP2A
HSPA8	UBE3A
HTR1D	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	E2F1
S1PR1	TRIP6
TRIP6	BCAR1
KAT5	RB1
KAT5	CREB1
KAT5	RELA
MDFI	VHL
VHL	SP1
KAT5	TP53
MDFI	CREB5
CREB5	ATF2
MDFI	PIN1
PIN1	JUN
KAT5	EP300
ADRA2A	GNAI2
GNAI2	GNAI3
ADRA2A	UCHL1
UCHL1	UBC
GNAI2	TRIP6
GNAI2	NUCB1
NUCB1	RBL1
RBL1	E2F3
UCHL1	TP53
TP53	CREB1
GNAI2	NPM1
NPM1	RELA
UCHL1	CTNNB1
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
GNAI2	ITCH
ITCH	JUN
UCHL1	CDK4
CDK4	CEBPA
ADRA2B	UCHL1
CTNNB1	BRCA1
BRCA1	E2F4
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
TP53	RELA
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
UCHL1	UBE2I
UBE2I	JUN
TP53	TFAP2A
ADRA2C	UCHL1
ADRA2C	EIF2B1
HTR2C	CALM1
HTR2C	DLG4
DLG4	MDM2
MDM2	E2F1
DLG4	PTK2B
PTK2B	BCAR1
DLG4	ERBB4
ERBB4	TRIM28
CALM1	AKT1
MDM2	RELA
CALM1	ESR1
ESR1	SP1
ERBB4	TP53
MDM2	PML
MDM2	JUN
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
MDM2	CDKN1A
CDKN1A	CEBPA
HTR1A	S1PR1
GNAI3	YWHAQ
YWHAQ	TRIM28
HTR1A	HTR1D
TRIP6	UBE2C
UBE2C	RELA
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
TRIP6	PTK2
PTK2	TP53
TRIP6	CREB5
CREB5	JUN
GNAI3	GNAI2
DRD1	RANBP9
RANBP9	AR
RANBP9	ESR1
ESR1	E2F1
ESR1	BCAR1
ESR1	HDAC1
RANBP9	NR3C1
NR3C1	CREB1
ESR1	RELA
ESR1	TP53
RANBP9	THRB
THRB	ATF2
NR3C1	JUN
RANBP9	APP
APP	MYC
MYC	TFAP2A
APP	MAPK8
MAPK8	CEBPA
JUN	CCND3
RELA	PLAU
TP53	CCNG1
TP53	HSP90AB1
CEBPA	AFP
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
SP1	HBZ
ATF2	INS
CREB1	ODC1
SP1	ODC1
ATF2	PLAT
CREB1	PLAT
JUN	PLAT
TFAP2A	PLAT
SP1	PLAU
CREB1	REN
RELA	S100A6
E2F4	TK1
CEBPA	TK1
