ACHE	COL1A1
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
COL1A1	IGFBP3
IGFBP3	CD44
CD44	EP300
EP300	USF2
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
IGFBP3	IGF1R
IGF1R	TP53
CD44	STAT3
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	HNRNPK
HNRNPK	CEBPB
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	RAB1A
RAB1A	CREB1
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGF1R	CSK
CSK	JUN
IGF1R	ESR1
ESR1	SP3
ITGB1	PRKCA
PRKCA	PPARG
ITGB1	FLNA
FLNA	REL
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
HSP90AA1	PPARD
UBL4A	NCL
NCL	SP1
HSP90AA1	NFIC
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
UBL4A	C1QBP
C1QBP	CEBPA
XRCC6	POU2F1
ITGB1	PTK2
PTK2	STAT1
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
FN1	SMAD4
SMAD4	ATF2
FN1	STAT5A
UBL4A	JAK1
JAK1	STAT5B
FN1	TRIM28
TRIM28	STAT4
TP53	ETS1
HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	MAPK8
MAPK8	MYC
CBL	YWHAZ
YWHAZ	TP53
CBL	EGFR
EGFR	STAT3
GRB2	HSP90AA1
CBL	SMAD3
SMAD3	CEBPB
CBL	SRC
SRC	RXRA
CBL	CTNNB1
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	ABL1
ABL1	CREB1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
CTNNB1	CREBBP
SMAD3	JUN
EP300	SP3
GRB2	REL
CTNNB1	COPS5
CTNNB1	ELAVL1
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
CTNNB1	PPARD
CTNNB1	SP1
SMAD3	NCOA1
NCOA1	RARB
SMAD3	CEBPA
HSPA8	POU2F1
CTNNB1	ESR1
EGFR	STAT1
CTNNB1	HIF1A
EP300	ARNT
CBL	BAG1
BAG1	RARA
SMAD3	ATF2
EGFR	STAT5A
EGFR	STAT5B
SMAD3	FHL1
FHL1	STAT4
EP300	ETS1
GLI3	PTCH1
TFDP2	CCNE2
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
RBPJL	MYC
RBPJ	MYC
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
CREB1	MITF
MITF	TYRP1
LEF1	MITF
MAPK3	CDK4
RBPJ	HES1
TP53	BAI1
ETS1	VEGFC
FOS	PGF
FOS	VEGFB
JUN	MMP2
MYC	VEGFC
FOXO3	CDKN1B
FOXO3	G6PC2
CREB3L2	BCL2
CREB3L1	MCL1
PPARA	ACSBG2
PPARD	CPT1A
PPARD	ANGPTL4
PPARD	UCP1
RXRA	APOA5
RXRA	CYP4A11
RXRA	FABP1
RXRA	ACSL3
RXRG	EHHADH
IRF7	IFNA8
MAPK1	IL23A
MAPK3	IL12A
MAPK11	IL23A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
TCF7	FOSL1
TCF7L2	JUN
FOS	PLAUR
HIF1A	HSP90B1
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
NFIC	ARG1
ATF3	ASNS
ATF4	ASNS
E2F+P170	CCNA2
MYC	CCNB1
USF1	CCND1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
STAT5A	EGFR
STAT5B	EGFR
POU2F1	HIST2H2BE
FOS	HLA-DRA
POU5F1	HMGB2
ETV4	HPGD
NFIC	HRAS
E2F4	HSP90B1
TFAP2A	HSPA1A
SP1	HSPA8
STAT4	IFNG
SP1	IL1B
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
TP53	MMP2
JUN	TFPI2
ELK1	TNF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
