NISCH	IRS1
IRS1	ESR1
ESR1	SP1
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
ESR1	HIF1A
EP300	ARNT
IRS1	SOCS3
SOCS3	NFKB1
IRS1	AKT1
AKT1	CREB1
IRS1	APP
APP	MYC
ESR1	CEBPB
IRS1	SIRT1
SIRT1	FOS
ESR1	HDAC3
HDAC3	CREB3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
IRS1	HDAC2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
EP300	ATF4
ESR1	STAT3
IRS1	IGF1R
IGF1R	TP53
IRS1	PTK2
PTK2	STAT1
SIRT1	JUN
ESR1	RELA
APP	MAPK8
MAPK8	ELK4
APP	KAT5
KAT5	SRF
ESR1	TOP1
TOP1	ELK3
APP	MAPK7
MAPK7	ETS1
GRB2	RUVBL1
RUVBL1	LEF1
IRS1	UBC
UBC	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
AKT1	CTNNB1
CTNNB1	TCF7L1
MAPK8	ATF2
GRB2	RBM33
RBM33	ATF6B
GRB2	KRT15
KRT15	CREB5
SIRT1	PPARA
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
IFNG	ICAM1
TNF	VCAM1
CREB3	BDNF
CREB1	BDNF
ATF2	BDNF
CREB3L4	FOSB
ATF4	FOSB
MAPK3	PDYN
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
ELK1	XIAP
ELK1	CCND1
CREB1	IL8
SMAD3	MYC
NFATC1	TNF
CREB3L2	IL8
CREB3L2	PCNA
CREB5	PCNA
CREBBP	HK1
CREBBP	HMOX1
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	HKDC1
EP300	HK1
EP300	HMOX1
EP300	BCL2
EP300	SLC2A1
EP300	HKDC1
HIF1A	HK1
HIF1A	HMOX1
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
SMAD4	CTGF
SOS1	CCND3
SOS2	SPRY3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
VDR	S100G
NFKB1	NFKB2
NFKB1	CCL4
NFKB1	CFLAR
RELA	VCAM1
PIK3R5	AKT2
PIK3CG	AKT1
PIK3R2	AKT3
PIK3R3	AKT1
ETS1	VEGFA
ETS1	VEGFB
FOXO3	G6PC
FOXO3	PCK1
PPARA	ACOX2
PPARA	FADS2
RXRA	CPT1C
RXRA	CPT1B
NFYC	LOC100509457
MAPK3	IL12A
LEF1	JUN
LEF1	PPARD
SP1	ABCB1
TP53	ABCB1
TFAP2A	ADRA1A
EGR1	AKR1B1
NFKB1	AKR1B1
TP53	AQP1
ATF1	AQP3
NFIC	C4BPB
TFAP2A	CALB2
ATF1	CALCA
STAT5A	IFNG
MYC	NRAS
TFAP2A	NRAS
JUN	NTS
SP1	ODC1
E2F4	PCNA
SP1	PDGFB
SP1	PDHA1
ATF3	PENK
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
